planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Seletar,Pulau Punggol Barat,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,0,Seanie,https://www.google.com/maps/contrib/101432342678308979633/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJ8-OWE59K_b9wo7mLauwt08YFBwYiBtMJPIz0GWXoupJ_3KQ=s128-c0x00000000-cc-rp-mo,4,6 months ago,1766465702,"The swimming complex was really great.
But there's only one problem...

They don't allow swimsuits with zippers when going to the slides"
Seletar,Pulau Punggol Barat,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,1,Puong Huei Lau,https://www.google.com/maps/contrib/105738000594461162256/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXEtfAfADo3Xmu3HSfzduua21p_3aAN2KoASFQ7XZKRP8mSqGds=s128-c0x00000000-cc-rp-mo-ba3,5,11 months ago,1754056988,definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around.
Seletar,Pulau Punggol Barat,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,2,lim veronica,https://www.google.com/maps/contrib/105833608517509445675/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKw9jjKoLNV6IBXWqGub023DkFYtkbnd2Kr_0YDydcdmKbidQ=s128-c0x00000000-cc-rp-mo,1,4 months ago,1773555363,"The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their leg. We saw the aunty mop the floor and just walk out. We thought she just done cleaning the washroom may be. Then when we walk in, the toilet is full of tissue on the floor and she just ignore and go out. More cleanser required."
Seletar,Pulau Punggol Barat,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,3,Arati Menon-Tan,https://www.google.com/maps/contrib/117512170402631235578/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVSAZLUvVWG7d02-XB2Ay9nBKLzgKE5VovsA61VnUVUvJ0v_DIl=s128-c0x00000000-cc-rp-mo-ba5,4,a year ago,1738669648,Good variety of age appropriate pools. Jacuzzi jets don't really work well at all the spots. Jacuzzi water are constantly cold.
Seletar,Pulau Punggol Barat,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,4,Mohamed Muzammil,https://www.google.com/maps/contrib/103830381498088835575/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJdUdXABbQvPMJR8oR1O12jB1aMePIEETaxdoAEtMKoc2k1DQ=s128-c0x00000000-cc-rp-mo-ba4,4,a month ago,1780661514,Quite a few different pools for all ages! Remember not to wear swimwear with zipper if you are planning to take the slides!
Seletar,Pulau Punggol Timor,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,0,Seanie,https://www.google.com/maps/contrib/101432342678308979633/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJ8-OWE59K_b9wo7mLauwt08YFBwYiBtMJPIz0GWXoupJ_3KQ=s128-c0x00000000-cc-rp-mo,4,6 months ago,1766465702,"The swimming complex was really great.
But there's only one problem...

They don't allow swimsuits with zippers when going to the slides"
Seletar,Pulau Punggol Timor,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,1,Puong Huei Lau,https://www.google.com/maps/contrib/105738000594461162256/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXEtfAfADo3Xmu3HSfzduua21p_3aAN2KoASFQ7XZKRP8mSqGds=s128-c0x00000000-cc-rp-mo-ba3,5,11 months ago,1754056988,definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around.
Seletar,Pulau Punggol Timor,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,2,lim veronica,https://www.google.com/maps/contrib/105833608517509445675/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKw9jjKoLNV6IBXWqGub023DkFYtkbnd2Kr_0YDydcdmKbidQ=s128-c0x00000000-cc-rp-mo,1,4 months ago,1773555363,"The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their leg. We saw the aunty mop the floor and just walk out. We thought she just done cleaning the washroom may be. Then when we walk in, the toilet is full of tissue on the floor and she just ignore and go out. More cleanser required."
Seletar,Pulau Punggol Timor,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,3,Arati Menon-Tan,https://www.google.com/maps/contrib/117512170402631235578/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVSAZLUvVWG7d02-XB2Ay9nBKLzgKE5VovsA61VnUVUvJ0v_DIl=s128-c0x00000000-cc-rp-mo-ba5,4,a year ago,1738669648,Good variety of age appropriate pools. Jacuzzi jets don't really work well at all the spots. Jacuzzi water are constantly cold.
Seletar,Pulau Punggol Timor,recreation,recreation sports gyms swimming community clubs,ChIJ7UrY8HMW2jER3ouFYG5edII,Sengkang Sport Centre,4.3,2363,4,Mohamed Muzammil,https://www.google.com/maps/contrib/103830381498088835575/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJdUdXABbQvPMJR8oR1O12jB1aMePIEETaxdoAEtMKoc2k1DQ=s128-c0x00000000-cc-rp-mo-ba4,4,a month ago,1780661514,Quite a few different pools for all ages! Remember not to wear swimwear with zipper if you are planning to take the slides!
