planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Toa Payoh,Bidadari,education,10,4.8,0,0,0,0,2,0,1,0,2,0,0,0,"Open and airy community club that has space to hold multiple events. a good location for residents to bond, or to check in on community initiatives and learn about public policy. A... || Great place to go for classes and Interest Group. Made many friends there (Chinese, Malays, Indians). Better understanding of different cultures too! || Toa Payoh West Community Centre is the place I went for Covid vaccination. The place is well organised, safe and efficient. It's also very windy today when I was there while waitin...",0,0,2,1,2,0
Toa Payoh,Bidadari,transport,10,4.3,1,0,0,1,1,0,0,0,2,0,0,0,"This place is very convenient! It has a mall, a MRT station, and a bus interchange, all at the same place! || One of the older train stations, one of the first air-con bus interchanges. Central area with many facilities like HDB (not sure if it's still there? Some areas are under renovatio... || Toa Payoh is a vibrant, all-in-one hub that perfectly blends convenience with local charm. Everything is within reach, from the seamless MRT connectivity to the bustling bus interc...",1,-1,1,0,2,0
Toa Payoh,Bidadari,food,10,5.0,1,0,0,9,2,0,0,0,0,0,3,0,"This hawker center was the first place I visited right after I landed in Singapore. Personally, I cannot say that this was the best in Singapore since I have not yet tried other pl... || Newton Food Centre is a must-visit in Singapore. Lively, authentic, and packed with incredible food options, it’s everything you want from a classic hawker centre. The variety is o... || • Food The food selection at this center is a reliable choice for local flavors. The chicken wings and satay are particular highlights, especially when paired with a cold beverage....",1,-9,2,0,0,3
Toa Payoh,Bidadari,shopping,10,4.3,0,0,0,2,1,0,0,0,6,0,0,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,-2,1,0,6,-1
Toa Payoh,Bidadari,recreation,10,3.9,0,0,0,0,1,0,0,2,2,0,0,0,"Was here for an Edusave award ceremony at the MPH, which is clean and has aircon. The open air area is also sheltered and has a huge fan so it's not hot. There are also counters to... || First time booking a pickleball court for play on Tuesday (20 Jan, 8-9am) and when we arrived at the CC, the only hall that we saw was dark and empty. As the counter was not open, ... || The volunteer staff there were very polite and provided clear, correct guidance. I’m very grateful for their service—it solved my problem and helped me save a considerable amount o...",0,0,1,-2,2,0
Toa Payoh,Bidadari,nature,10,4.4,3,0,1,0,2,0,0,0,3,0,0,0,"The park itself is fine if you don't intend to go onto the other side of the waterway because the number of bridges linking the two sides are few and far apart. I am not sure why i... || Great place for a family walk. Quite a lot of wildlife and nature you can spot here if you look closely. || Nature's serenity and wonder, 😜 if you don't mind just a quiet morning walk or family walk ☺️🍀😎💕👍🏽🌈",3,1,2,0,3,0
Toa Payoh,Boon Teck,education,10,5.0,0,0,0,0,0,0,0,0,0,0,0,0,"We had such a wonderful experience at the school’s Chinese New Year celebration! The event was very well organized, with beautiful decorations that created a festive and joyful atm... || Another year celebrating Family Day with MindChamps! The sun may have been scorching, but the teachers’ energy and enthusiasm made everything so lively and fun. Grateful for yet an... || Mind Champs Toa Payoh is the best. My kid love the teacher, friends there. Every day she is full of passion to go. The friends there are all well educated and very friendly l.",0,0,0,0,0,0
Toa Payoh,Boon Teck,transport,10,4.6,0,0,0,1,2,0,0,0,8,0,0,0,"This place is very convenient! It has a mall, a MRT station, and a bus interchange, all at the same place! || One of the older train stations, one of the first air-con bus interchanges. Central area with many facilities like HDB (not sure if it's still there? Some areas are under renovatio... || Toa Payoh is a vibrant, all-in-one hub that perfectly blends convenience with local charm. Everything is within reach, from the seamless MRT connectivity to the bustling bus interc...",0,-1,2,0,8,0
Toa Payoh,Boon Teck,food,10,4.8,0,3,0,10,2,0,0,0,0,0,2,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-3,-10,2,0,0,2
Toa Payoh,Boon Teck,shopping,10,4.7,0,0,2,1,0,0,0,0,1,0,1,0,"We went to Marinna Square Mall to have our HongKong Tim Sum today. We ordered a total of 6 dishes with 1 dessert. He had porridge,Chee cheong fun, fried carrot cake,pandan leaf ric... || If you are in Singapore for F1 next year, Marina Square is the place to be if you don't have tickets. At the rooftop gardens it offers a slight view, and you can get pretty close. ... || Marina Square is a bustling local favorite! Visited on a Saturday and the energy was high with multiple expos in full swing. It’s packed with unique small shops and a massive varie...",0,1,0,0,1,1
