planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Downtown Core,Central Subzone,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,0,Lordson,https://www.google.com/maps/contrib/107252966649784387494/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLWiTHmVYyl50Y_THk_fptyFkGx53OwJT0qdWVUftdZtSi7yQ=s128-c0x00000000-cc-rp-mo,5,3 months ago,1774573132,"Fitness First One George is my favorite branch by far. The space is beautifully well-lit in the mornings, with a great view that really sets the mood for a good workout. You can even get a bit of sun without being bothered, which is a nice bonus.

The staff, Yogesh and her team,  trainers and cleaners are consistently friendly and approachable, and the place is always kept tidy. Locker rooms are clean and well-maintained, making the overall experience comfortable from start to finish.

The location is also very convenient. Just know your timings, and you’ll have a great workout every time. Definitely a branch I keep coming back to."
Downtown Core,Central Subzone,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,1,L B,https://www.google.com/maps/contrib/114937767343769962412/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIsmTIeE3XZw_QD0qlff5jOnKm8erlH93b4FwEHqElRKVtm6DkY=s128-c0x00000000-cc-rp-mo-ba3,5,4 months ago,1772767032,"This studio has a nice view and even gets good sunlight—perfect if you enjoy a little post-workout suntanning.

The equipment selection is complete. The floor plan is a bit small, but during off-peak hours it feels comfortable and easy to move around.
Shower and sauna areas are clean and well maintained.

The personal trainers are polite and considerate of members who train on their own.

Shout out to Dasha and the front desk team for always being friendly and welcoming. They really set the tone when you walk in!"
Downtown Core,Central Subzone,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,2,Laavaniya Mahalingam,https://www.google.com/maps/contrib/106973904075026098500/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUNIbSQkV2T5uxfpJ0RRifDss_XcsrL1A9IWTqqCvwU_DRPdcIe=s128-c0x00000000-cc-rp-mo-ba2,5,a month ago,1780541044,"Workout are always creative and challenging but what I most value is the excellent impact for every minute spent exercising. I have spent longer in the gym but with nothing like the positive result, but Dasha helped keep me focused, sharp and in shape. I have loved training with Dasha. She is a very professional, encouraging and all-round lovely person to work with.....✌️
I enjoy coming to my sessions and, with her help, discovering what I can do next.
Anyone wanting a truly dedicated PT - Dasha will do such an amazing job."
Downtown Core,Central Subzone,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,3,Peonies,https://www.google.com/maps/contrib/105461726245470429117/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIcjc2sue5TsX-0uzvf5V03lBEUC7AtQpHoyXBiTvKe6tZV8w=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778662217,"Awesome gym, awesome staff, awesome trainers.
Love the bathroom too as I’m very particular abt bathroom.
Special shout out to Ramp, Marlon, Yogesh, Dasha, Nithia, and all staff that made my experience at the gym a great one!"
Downtown Core,Central Subzone,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,4,Thiya Liven,https://www.google.com/maps/contrib/100104215080612662425/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXImlRPTm64DPmLDhuTc7lpAXd0XTqbct_T5LTDfNkntgfYMFI=s128-c0x00000000-cc-rp-mo,5,a month ago,1780492270,"The reception Dasha was friendly, welcoming, and professional. They greeted me with a smile and made the registration process quick and smooth. Their positive attitude created a comfortable atmosphere, and they were always ready to assist with any questions. Excellent customer service and a great first impression of the gym."
Downtown Core,Bayfront Subzone,nature,parks gardens nature waterfront park connectors,ChIJ0QX_Brki2jER-pZKNdqk_a8,East Coast Park,4.6,32015,0,Multi Vitamins,https://www.google.com/maps/contrib/107939668747124573031/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVGGQyaO9BfBwgW6FaWAzynOQl-MFZI5j79MwZq4aP2FJcjTRhojw=s128-c0x00000000-cc-rp-mo-ba6,5,a month ago,1779542640,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes it an ideal destination for long walks or cycling trips. I particularly enjoyed the ability to ride my bicycle all the way to Gardens by the Bay via the park connector; it was always such a calm and refreshing experience.

The park offers a wonderful atmosphere with its blend of lush greenery and sea views. It is exceptionally well-equipped for families and fitness enthusiasts, featuring dedicated exercise stations, children’s play areas, and wide, separate paths for cycling and walking that prevent the space from feeling crowded.

Beyond the scenery, the facilities are excellent. There are convenient bicycle rentals, a variety of dining options in the restaurant area where you can enjoy the sea breeze, and well-maintained BBQ pits and shelters. For those interested in staying longer, the designated camping areas are a great touch, and I’ve always found the washrooms and bathing facilities to be very clean.

Overall, it is a perfect place to relax, exercise, and enjoy nature, whether you are visiting alone or with friends and family."
Downtown Core,Bayfront Subzone,nature,parks gardens nature waterfront park connectors,ChIJ0QX_Brki2jER-pZKNdqk_a8,East Coast Park,4.6,32015,1,chaami de silva,https://www.google.com/maps/contrib/105942874819005000305/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIsHeBI7yakjP5feakTyv1uWvpVNjFB-vMUI00vGal--o1gubs=s128-c0x00000000-cc-rp-mo-ba5,5,6 months ago,1768795419,"East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfect for long walks or cycling trips. The park has lots of nice scenery, with greenery and sea views that make the atmosphere very relaxing. In some areas, there are exercise equipment stations and children’s play areas, which are great for families and fitness lovers.

There is a dedicated cycling path and a separate walking path, both of which are wide and well maintained, so it never feels crowded. You can also rent bicycles, and there are fun activities and attractions that bring in many people. The park has a restaurant area where you can enjoy a variety of foods while feeling the cool sea breeze. You can book BBQ pits, and there are huts available for shelter in case of rain. There are also designated camping areas for those who want to stay overnight.

I used to live near the East Coast area, and what I loved most was riding my bicycle all the way to Gardens by the Bay, as the park connector makes this possible. It was always a calm and refreshing experience. On top of that, the washrooms and bathing areas are very clean and well maintained. Overall, East Coast Park is a perfect place to relax, exercise, eat, and enjoy nature, whether alone, with friends, or with family."
Downtown Core,Bayfront Subzone,nature,parks gardens nature waterfront park connectors,ChIJ0QX_Brki2jER-pZKNdqk_a8,East Coast Park,4.6,32015,2,Sandy Yeo,https://www.google.com/maps/contrib/101755998208007544399/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIDUt86NdHN5TJr4P48lD4eHP9G1kyETyaDPzP97wGn6pzZ4w=s128-c0x00000000-cc-rp-mo-ba3,5,4 months ago,1773257500,"Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and head to less crowded spot on the further end of the beach."
Downtown Core,Bayfront Subzone,nature,parks gardens nature waterfront park connectors,ChIJ0QX_Brki2jER-pZKNdqk_a8,East Coast Park,4.6,32015,3,Tose,https://www.google.com/maps/contrib/104595949272600149219/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUcJRF_cr37g_zmdzoXAt8Y51p0Kf0pKLAZ-G1cYWDEZbf0pr0=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778151436,"This is one of the most beautiful parks I’ve ever visited in Singapore.

It has plenty of trees, clean walking paths, and comfortable benches where people can relax and enjoy the peaceful atmosphere. I especially recommend visiting in the morning because the weather is cooler and the park feels very refreshing

There are also many trash bins around the park, so it is convenient for visitors who bring drinks or snacks. The area is well maintained, clean, and perfect for taking a walk, reading a book, or simply spending quiet time away from the busy city. 🌳"
Downtown Core,Bayfront Subzone,nature,parks gardens nature waterfront park connectors,ChIJ0QX_Brki2jER-pZKNdqk_a8,East Coast Park,4.6,32015,4,Ryder Lim,https://www.google.com/maps/contrib/115378143302332157784/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVtbkcgsabgZ1jYC8ogSBtjA8sAuRnCPow31ug4r9BEqE0-Epw=s128-c0x00000000-cc-rp-mo-ba4,5,4 months ago,1772284768,"Best place to cycle! So beautiful at evening time! Best timing to cycle : 5-30pm-7.45pm.
Beach view at the side and can swim. Bedok jetty , fishing."
