planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Novena,Balestier,education,10,4.8,3,2,1,1,0,0,0,0,4,0,0,0,"We really liked this particular outlet because it is bright and spacious. The teachers are also wonderful. Ms Wei Ling and Ms Claudia were able to connect with the children - expla... || I would to express my appreciation to the team of teachers for their patience and love for my children. Special shout-out to Miss Jash and Miss Wei Ling for the kindness shown to t... || Highly recommended after-school care option as the teachers here have been wonderful! They are caring, patient, and always go the extra mile to make sure the children feel happy an...",1,0,0,0,4,0
Novena,Balestier,transport,10,4.2,0,0,1,1,2,0,0,0,2,1,0,0,"The only bus Interchange that is sandwiched between Hajjah Rahimabi Kebun Limau Mosque, Whampoa Park, and Whampoa River, this bus Interchange serves the residents of Whampoa linkin... || Quite small . But there is buses that go east side like 129 and 21 , South side like 186,124 and 131 The only problem with this interchange Not only is hard to find the bus 129 ber... || Kinda of confusing on bus 129 around the area. Bus stop serving same number but on different routes (1 to terminal, 1 outboard), cause me to be out of pocket. Is it deliberate to c...",0,0,2,0,1,0
Novena,Balestier,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Novena,Balestier,shopping,10,4.9,0,0,0,1,0,0,0,0,6,0,1,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,-1,0,0,6,0
Novena,Balestier,recreation,10,5.0,0,0,3,0,2,0,1,0,1,0,0,0,"I recently attended a small group circuit training session at Trilogic Fitness in Novena and had a great experience. The gym is spacious, fully air-conditioned, and conveniently lo... || My first time here today and was awed by the size and spaciousness of the gym. It has the best of both worlds; strength and cardio areas. Also hyrox stations if that’s your thing! ... || Trilogic is such an amazing gym: well rounded for all types of training needs, impeccably clean and well-maintained equipment and facilities, and always gives 100% positive energy ...",0,3,2,1,1,0
Novena,Balestier,nature,10,4.9,10,0,2,3,1,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",10,-1,1,0,0,0
Novena,Dunearn,education,10,4.6,1,0,0,0,0,0,0,0,0,0,0,0,"Teacher Natalie is one of those teachers that students genuinely enjoy learning from. Ally always looks forward to her lessons and feels encouraged to do better after every class. ... || My son has been in TLL since primary 1 and since then, I never regretted signing up for TLL. TLL teaches topics in advance and teaches techniques to hone your answering skills, esp... || Very disappointing experience. The teaching quality was poor, and instead of providing proper support and a clear learning plan, the teachers kept complaining about the student’s l...",1,0,0,0,0,0
Novena,Dunearn,transport,10,4.4,1,0,2,2,4,1,0,0,3,0,0,0,"I was here today (17 DECEMBER 2025) arriving from Newton MRT Station, after alighting thereat via the Downtown Line from Hillview Station. I live in the Hillview area and this MRT ... || We needed a 4 day visitor pass and they dont sell at this stop. Have to go to Orchard station, problem is the MRT no longer sells tickets and you have to pay to get to Orchard stat... || Went to Sanouk halal Thai for lunch. Absolutely value for buck, great service. Clean and spacious seating.",1,0,3,0,3,0
Novena,Dunearn,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Novena,Dunearn,shopping,10,4.8,0,0,0,0,2,0,0,0,3,0,0,1,"My go to whenever I fly through T4 to get a quick bite. Quick, no frills, okay staff, and it has minced ginger, something that many chicken rice stalls have forgo, which is a shame... || Went to Tcm here and the standards of cleanliness is still v high. V impressive. Keep up the good work guys! Air con was fresh and crisp and u could feel the cooling sensation. Att... || My wife and I were here today (17 DECEMBER 2025) for lunch and for shopping. We often come to this shopping mall via the North South Line alighting at the Novena MRT Station that i...",0,0,2,0,3,-1
Novena,Dunearn,recreation,10,4.8,2,0,3,0,4,0,1,0,2,0,0,0,"Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of ... || On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refin... || Nice and clear place and the foods are damn good 👍",2,3,4,1,2,0
Novena,Dunearn,nature,10,4.6,7,0,1,1,0,0,0,0,0,0,0,0,"Very nice place to either have a slow walk, trail walk, or trail run. There are challenging slopes & steps, but there are also friendly sections to catch your breath. Distance wise... || Went hiking at Bukit Timah and Rifle Range and it turned out to be a really refreshing experience. The trail was surrounded by tall trees and thick greenery, making the whole walk ... || The highest hill in Sg but there is no view at the summit. A little disappointing. Very hot and humid. The forest does not cover or cool down the trail unlike the one at Macritchi ...",7,0,0,0,0,0
Novena,Malcolm,education,10,4.7,4,0,3,0,0,0,1,0,3,0,0,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...",4,3,0,1,3,0
Novena,Malcolm,transport,10,4.2,0,0,1,1,3,0,0,0,2,1,0,0,"they maintained this place quite well over the years, im happy to see that this rich culture and history is still nicely kept, with its creepy elements still creepy and its statues... || Singapore yellow Colour Code Hawoar vila Mrt station no _ 25,, || Beautiful place for family and children. They gonna learn rich culture of our history. #I love the old slow music.",0,0,3,0,1,0
Novena,Malcolm,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Novena,Malcolm,shopping,10,4.8,0,0,0,0,2,0,0,0,3,0,0,1,"My go to whenever I fly through T4 to get a quick bite. Quick, no frills, okay staff, and it has minced ginger, something that many chicken rice stalls have forgo, which is a shame... || Went to Tcm here and the standards of cleanliness is still v high. V impressive. Keep up the good work guys! Air con was fresh and crisp and u could feel the cooling sensation. Att... || My wife and I were here today (17 DECEMBER 2025) for lunch and for shopping. We often come to this shopping mall via the North South Line alighting at the Novena MRT Station that i...",0,0,2,0,3,-1
Novena,Malcolm,recreation,10,4.2,0,0,2,0,1,0,1,0,0,0,0,0,"I recently attended a small group circuit training session at Trilogic Fitness in Novena and had a great experience. The gym is spacious, fully air-conditioned, and conveniently lo... || My first time here today and was awed by the size and spaciousness of the gym. It has the best of both worlds; strength and cardio areas. Also hyrox stations if that’s your thing! ... || Trilogic is such an amazing gym: well rounded for all types of training needs, impeccably clean and well-maintained equipment and facilities, and always gives 100% positive energy ...",0,2,1,1,0,0
Novena,Malcolm,nature,10,4.9,10,0,2,3,1,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",10,-1,1,0,0,0
Novena,Moulmein,education,10,4.6,0,0,0,0,0,1,0,0,0,0,0,0,My nieces and boy loves being with Teacher Wen Hee! Thankful for his patience and being able to impart his knowledge to my nieces and boy who have all shown great progress! WH mana... || My boy attends P1 class @ Novena with Teacher Kyria. He thoroughly enjoys the curriculum and the fun online learning homework every time after the lesson. We’re pleased with his pr... || Teacher Wen Hee is very good for my son and he shows concern even when my son does silly things to get attention. LBM’s teaching methods are systematic and I’m thoroughly impressed...,0,0,-1,0,0,0
Novena,Moulmein,transport,10,4.2,0,0,1,1,2,0,0,0,2,1,0,0,"The only bus Interchange that is sandwiched between Hajjah Rahimabi Kebun Limau Mosque, Whampoa Park, and Whampoa River, this bus Interchange serves the residents of Whampoa linkin... || Quite small . But there is buses that go east side like 129 and 21 , South side like 186,124 and 131 The only problem with this interchange Not only is hard to find the bus 129 ber... || Kinda of confusing on bus 129 around the area. Bus stop serving same number but on different routes (1 to terminal, 1 outboard), cause me to be out of pocket. Is it deliberate to c...",0,0,2,0,1,0
Novena,Moulmein,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Novena,Moulmein,shopping,10,4.9,0,0,2,0,0,0,0,0,4,0,0,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,2,0,0,4,-1
Novena,Moulmein,recreation,10,4.6,0,0,4,0,3,0,1,0,0,0,0,0,"I recently attended a small group circuit training session at Trilogic Fitness in Novena and had a great experience. The gym is spacious, fully air-conditioned, and conveniently lo... || My first time here today and was awed by the size and spaciousness of the gym. It has the best of both worlds; strength and cardio areas. Also hyrox stations if that’s your thing! ... || Trilogic is such an amazing gym: well rounded for all types of training needs, impeccably clean and well-maintained equipment and facilities, and always gives 100% positive energy ...",0,4,3,1,0,0
Novena,Moulmein,nature,10,4.9,10,0,2,3,1,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",10,-1,1,0,0,0
Novena,Mount Pleasant,education,10,4.7,4,0,3,0,0,0,1,0,3,0,0,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...",4,3,0,1,3,0
