planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Central Water Catchment,Central Water Catchment,food,food dining hawker centres restaurants cafes,ChIJ04DTdbQZ2jERFt4kBQi-E60,Golden Mile Food Centre,4.3,7464,0,Sten (Piqued Wanderer),https://www.google.com/maps/contrib/115011929186540431052/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWWbpFyJ2wLsASsvdpfZFU2nvqzXRkXyOzw-cYNB81OlxGaDNZM=s128-c0x00000000-cc-rp-mo-ba8,5,a month ago,1781681146,"This place has been around since we were young. And it is known to host many shops that sells the products for military, police and such.

Lets dive in!

Food:
There have been changes with some maintaining their business around. Most of the time, many would come for tulang or mamak dishes. We kinda like the western food here that is around recently.

Service:
Many shop owners will call you for their business, part of their attention seeking modus operandi. But dont worry bout them, as all seats in this area can be for anyone, thus no dedicated table for any booth.

Atmosphere:
Having been around here for years, we do feel the charm and miss the memories we had while younger here. There have been some works on the place and its way cleaner now compared to the past.

All in all, we definitely enjoy coming over, even for window shopping at the top floors. We applogise there are limited photos of the shops around as we were too hungry actually 🤭🤭"
Central Water Catchment,Central Water Catchment,food,food dining hawker centres restaurants cafes,ChIJ04DTdbQZ2jERFt4kBQi-E60,Golden Mile Food Centre,4.3,7464,1,Angel Tan,https://www.google.com/maps/contrib/117158785732917448770/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKoME4OCsVvTlp4mKmkEP8HwUjCSeZp7b8A1S_j_IkHJZxSsQ=s128-c0x00000000-cc-rp-mo-ba6,4,2 months ago,1778774884,"Besides the ever-popular claypot rice & Hokkien prawn mee (which had a long queue despite the odd hours), try out Dragon Curry’s Nan ru pork cutlet curry rice! Sweet curry with a lemongrass taste, thin pork cutlet but quite tender.

Wen Li Taiwanese’s Pig intestine mee sua set was tasty too, & comes with crispy salt & pepper chicken! For dessert, go for 75 Ah Balling’s Tang yuan with peanut soup / almond milk.

IG @pingguo301"
Central Water Catchment,Central Water Catchment,food,food dining hawker centres restaurants cafes,ChIJ04DTdbQZ2jERFt4kBQi-E60,Golden Mile Food Centre,4.3,7464,2,Kan Goh,https://www.google.com/maps/contrib/115611067938027564725/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWHqSzglU1g009py0FlCsfLCvt5p4zZKgs3udw_QYTIoaGSm15f=s128-c0x00000000-cc-rp-mo-ba4,4,2 months ago,1778582223,There are actually three levels at Golden Mile Food Centre. Most will visit the 1st and 2nd level where many good and popular food stalls are located but little people visit the 3rd level where shops selling military merchandise are located. Do pay a visit while you’re there to see the many interesting merchandises on display.
Central Water Catchment,Central Water Catchment,food,food dining hawker centres restaurants cafes,ChIJ04DTdbQZ2jERFt4kBQi-E60,Golden Mile Food Centre,4.3,7464,3,SC HK,https://www.google.com/maps/contrib/114546814587670653652/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI2mNWImHnUgrgtoErJWspxdf52ymbKDPMpfJNFqLis1zih-0Q=s128-c0x00000000-cc-rp-mo-ba5,4,a month ago,1780758713,"Not able to fairly gage the food here because it has lots of food stalls I'd only tried the glutinous ball peanut soup that tasted just like my mom's home made peanut soup yum2. Generous portion of peanuts! And 6 glutinous balls or tang yuan made of 5 different flavors you can choose from at SGD3.50 wow! I ate 2 bowls and I came back again for another 2 bowls! I brought company hahaha~ 😋😋

A Sarawak friend i brought thinks the auntie made the 5 flavor glutinous balls herself because the thickness of the tangyuan were not even or same with other dessert stalls.

Personally I still love peanut and sesame flavors best. But I'm pleasantly surprised by green tea or matcha flavor. My friends love the yam flavor. I like red bean paste too but peanut and sesame are sweeter and crunchier with something to bite I needed more of those 2 flavors or I'll get a 3rd bowl. 🤣🤣"
Central Water Catchment,Central Water Catchment,food,food dining hawker centres restaurants cafes,ChIJ04DTdbQZ2jERFt4kBQi-E60,Golden Mile Food Centre,4.3,7464,4,Thomas Saw,https://www.google.com/maps/contrib/103587530908056206099/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVopuoAVkDcYYKNQAyq8rBo-OHJzec_gOjdt7hZGkg5667L1U0=s128-c0x00000000-cc-rp-mo-ba5,4,5 months ago,1768993474,"This Halal stall next to Ashes Burnnit, fried delicious Kway Teow Goreng. The noodle is abit moist if anyone like it fried this way. The prawn is cut in smaller size & fresh too. Portion is good for heavy lunch at S$4.50, however is a little chilly, so prepare a cold drink in hand.
I had try their Laska Johor before which is creamy & different from SG laksa.
Stall mainly served seafood dishes, No beef & mutton.

Jan’26, revisited the stall and managed to photo the stall name. Ordered the Mee Goreng also Kway Teow Goreng and she take time to fried it. The taste remain same as last eaten but this time less spicy. The Mee Goreng is slightly on a wet/moist dish that differs from traditional Indian mee goreng with potato."
Central Water Catchment,Central Water Catchment,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,Temasek Club,4.3,1464,0,Xin Hao,https://www.google.com/maps/contrib/101038177603319548234/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjU6c44XsILjRE2Islw02Z6jqIpGV_4urvZ0lGOy57c-ErkANHqe=s128-c0x00000000-cc-rp-mo-ba8,4,a month ago,1779673735,"Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of nature surrounding it, making it great for family gatherings, weddings, casual dinners or even just escaping the city for awhile.

The atmosphere is probably the biggest selling point here. Many visitors mention the relaxing ambience, lush views and spacious environment that makes it feel less hectic than most clubs in Singapore. There is also a decent Cantonese restaurant within with very nice menu options.

One thing to note is accessibility. If you are driving, parking is manageable and convenient. But if you rely on public transport, getting there can feel slightly out of the way since the club sits deeper into Rifle Range Road."
Central Water Catchment,Central Water Catchment,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,Temasek Club,4.3,1464,1,YULIA TCK,https://www.google.com/maps/contrib/115455902394737914779/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUbn6v0mLyywYaqbs4DLfCD32_qPitBq9Jt0_AQ6Pm-SqGgrLA=s128-c0x00000000-cc-rp-mo-ba4,5,4 months ago,1773585282,"On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refined atmosphere. The service was professional and attentive, and the food was excellent. It was a very pleasant and memorable experience."
Central Water Catchment,Central Water Catchment,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,Temasek Club,4.3,1464,2,Ada Cheang,https://www.google.com/maps/contrib/117149678057707997099/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocILtLYlM2dzkFBShomYDx4aguNsnP5CXrHA1_r-htf10Cw3yg=s128-c0x00000000-cc-rp-mo-ba5,5,a month ago,1780754176,Nice and clear place and the foods are damn good 👍
Central Water Catchment,Central Water Catchment,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,Temasek Club,4.3,1464,3,Ashley Liew,https://www.google.com/maps/contrib/115333748318871707993/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVddwioWn2vIWseGeLcQUEr7x5FpokOuwMgLuTFOfWDIXAE46A=s128-c0x00000000-cc-rp-mo-ba8,5,a year ago,1740575462,"Great facilities that are well maintained and super clean, probably one of the cleanest clubs I have ever been to. Ample car park spaces available. Lots of function rooms with the food served of good quality. Helpful staff also. Quite far in from Bukit Timah Road so not the most accessible club public transport wise."
Central Water Catchment,Central Water Catchment,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,Temasek Club,4.3,1464,4,Suzie Chang,https://www.google.com/maps/contrib/117134623872898212027/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJGA6env1IQK3Cnvg9x4iaQxVLvj0WH882VpN6lHW102sZYeg=s128-c0x00000000-cc-rp-mo-ba5,4,3 years ago,1681649831,We visited SPIZE restaurant during weekend and we have 20 pax and did not have reservation. The staff was very helpful and served us with 4 tables. And told us order Asian food will serve faster. Think they know we all are hungry. The food was delicious and big potion.
