planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,0,C.C,https://www.google.com/maps/contrib/108239609866149553743/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWdmRNAvjY5Qw4qF5OD1167VqXBZPWmhJ6Y1SKmp2uEdooVLmuk=s128-c0x00000000-cc-rp-mo-ba3,5,2 months ago,1777268707,"We are very happy with student care service provided by Edufirst Learning Centre. The teachers are kind, patient, and caring. My daughter feels safe and comfortable here.

Especially during P1, my daughter was still new and not familiar with school life.  She needed more guidance and time to adjust. Tr Huiling took very good care of her and patiently guided her through homework, school rules and gave her encouragement, which helped her to feel more confident.

The center is well arranged with many activities for the students. Even during the school holidays, there are excursions and activities planned so the students stay active, happy and motivated while learning.

We really appreciate the effort and care from the teachers. Thank you for creating a positive and supportive place for the children."
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,1,Angelina An,https://www.google.com/maps/contrib/115272583131855017630/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVOT8z5wEFeqn55JNReXDCVBJQR7KBUcYCgX4cnm87AP5AsSqtL=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778240391,"My child has joined the student care this year and I'm glad I had chosen Edufirst. The teachers here are diligent and responsible, especially teacher Huiling, who provides strong academic support and daily feedback. She monitors my child’s school homework closely and ensure that spelling revision is done thoroughly every week. Beyond the academics, you can tell the teachers truly care about the well-being of the students. It gives me great peace of mind knowing my child is in such caring hands while I’m at work."
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,2,Kah Ying,https://www.google.com/maps/contrib/106787752556363690946/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI2xvWWNSK3gG5DhosT8GmZs7w6Z0w2j7FRkGLlaeGsBcqj8A=s128-c0x00000000-cc-rp-mo-ba2,5,2 months ago,1777389291,"Really glad to have enrolled my P1 kid into Edufirst as he’s happy and adapting well in the centre. Staff and teachers were caring towards him. Would like to thank all the staff and teachers for their patience and guidance, esp Tr Huiling, who’s in-charge of his class. She would ensure that the children complete their school work properly as it’s the centre’s top priority. After which, children may proceed with other learning activities or outdoor activities. Highly recommend this centre to any parent looking for student care in Punggol area!"
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,3,Li Qian Tan,https://www.google.com/maps/contrib/112345197893952616945/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJ7CTJMEVJeFR9DMfcMIvbC8xEdgD4NlGAyeDP5he7EZrFk4w=s128-c0x00000000-cc-rp-mo,5,2 months ago,1777604017,"We’re truly grateful to have found this student care for our daughter who is currently in P1 class. Teachers and staff are friendly and approachable. Thank you for creating such a supportive environment, guiding the children patiently with their homework, and always keeping us updated on their progress and school matters. Your commitment and initiative mean a lot to busy working parents like us and make a real difference in our child’s growth. Truly thankful for their care and dedication. Much appreciated! 💛"
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore,4.7,147,4,Donavan Seah,https://www.google.com/maps/contrib/100360607261006924353/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVYxcdiliW8WTHqblMHbY2f7ugasY2ZrpfDvRcFiYw3Td71JNEL=s128-c0x00000000-cc-rp-mo,5,8 months ago,1761698293,"I’m very thankful to the student care for providing a caring and supportive environment for the children. I would also like to express my sincere appreciation to Teacher Hui Ling for her dedication and patience in guiding my son with his after-school studies. With her encouragement, I’ve seen an improvement in his learning attitude and confidence. She also provides timely feedback to parents and works closely with us to help him improve further.

Overall, I’m happy with the support provided by the student care and the teachers. There is still some room for improvement in certain areas, but I can see the effort and commitment from the team to continuously do better. Thank you for all your hard work in creating a positive and nurturing environment for the students!"
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,0,Madiha,https://www.google.com/maps/contrib/114242387135977753283/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHCPM5GgKJCH7JgvWv5_MxW13ltPSTlow5LjKKBTnXZqmj6g=s128-c0x00000000-cc-rp-mo-ba5,3,a month ago,1779948931,"Decent spot for variety, but not for those craving familiar Pakistani flavours
Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with plenty of options and a nice atmosphere, especially in the evening when the streets are closed off for dining.
We tried the halal stall and ordered chicken rice noodles, chicken basil vegetables, and tea tree something. While the portions were generous and the service was quick, the overall taste was quite different from what we expected. Everything had a strong seafood-like flavour profile (even the non-seafood items), which didn’t really appeal to us as I can’t stand sea food smell. It felt quite far from Pakistani taste preferences – the spices, seasoning, and balance were very different.
If you’re in the mood to explore local Singaporean or Southeast Asian hawker food and try new things, Lau Pa Sat is a great place with lots of variety. However, if you’re particular about your food and want something closer to Pakistani cuisine, this might not be the best choice.
Cleanliness was just fine for a busy hawker centre, and the pricing was reasonable. Good for tourists or casual explorers, but we probably won’t rush back."
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,1,Franco Migliorati,https://www.google.com/maps/contrib/100371330244756270290/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVkZnEeD-A71-8sTYTmOmEFkth5fm4r4G3NJjaT8fP8fl_T-hUoqw=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772028535,"fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singaporean, etc. There's something for everyone. Good ventilation and plenty of tables but the place is always packed and noisy (it doesn't take away the enjoyment). A must to visit."
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,2,Piotr Treter,https://www.google.com/maps/contrib/100672490460451924508/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJkJ1CdwVAoUWZNkGU0R51jueMxWq-vHoYNtIjkipXTuJWEGQ=s128-c0x00000000-cc-rp-mo-ba5,5,5 months ago,1770210422,"There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everything is perfectly seasoned, with plenty to choose from, so everyone should easily find something to their liking. And the prices are very affordable by Singaporean standards."
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,3,Trang Nguyen,https://www.google.com/maps/contrib/111561150280467194373/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHfsPshQW972d4yzKstFPDDgwG_sd38rfo75jAycL5Vg_tpOk=s128-c0x00000000-cc-rp-mo-ba4,5,3 months ago,1774788514,"Lau Pa Sat: A must-visit for the lively night vibe!

I visited at 9 PM on a Friday, and it was absolutely crowded! The energy outside on Satay Street was incredible, with everyone enjoying grilled food in the open air. Inside the historic building, there are plenty of food stalls to choose from.

The Drinks:
One thing to watch out for is that there are very few drink stalls, so the lines are very long. I bought an Iced Mango Peach ($2.80), but I wouldn't recommend it. It was extremely sweet and didn't contain any fresh fruit—it tasted mostly like syrup. I suggest skipping the ""juices"" here if you want something fresh.

The Food & Service:
I tried the Thunder Tea Rice ($6.20). It was okay, though it didn't quite fit my personal taste. After eating, the service is efficient; you can either clear your own tray or wait for the staff who come by frequently to collect them.

The Verdict:
It is very crowded and noisy with loud music, but it’s a ""must-visit"" to experience the local Singaporean vibe. Just be prepared for the crowds!"
North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,4,herdarksecret,https://www.google.com/maps/contrib/103152694342316321576/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocL8Ep70MYF7RNmwysbNL0OHYX1-zaj0q1g6xVF2FEIRfrvVYg=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,1777028043,"Tried Na Na Curry at Lau Pa Sat because saw that they are awarded Michelin Bib Gourmand 10 years in a row!

Their chicken curry is rich, slightly creamy, and super comforting. The spices are well-balanced, not too heavy but still very satisfying.

The chicken is tender and soaks up the curry nicely, making every bite flavourful. Pairs really well with both the rice and roti prata!"
