planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Western Islands,Jurong Island And Bukom,education,10,4.7,8,1,2,1,2,0,0,0,2,0,0,0,"​If you're looking for the most scenic library in Singapore, this is it. Located on the 3rd floor of VivoCity, library@harbourfront is a masterclass in modern, functional design. ​... || Visited Library @ HarbourFront — one of the nicest local libraries to relax and enjoy some quiet time with a book. The view overlooking Sentosa Island adds to the calming ambiance,... || staff are attentive to library users needs: noticed staff approached, 2grandmas and a lady with infant in hand and her pre schooler, to park the stroller to the designated area to ...",7,1,2,0,2,0
Western Islands,Jurong Island And Bukom,transport,10,4.4,0,0,0,2,2,0,0,0,4,0,0,0,"I have headed here in singapore to head to IMM mall. Metro ride was good. Im thrilled to see everyone using metro besides personal transport. Most of the people are very friendly g... || I love in the West. I've been using the JE MRst exchange since 1991. The ceiling plan hasn't changed at all since then. Until recently, this roof wasn't washed much at all and even... || This MRT Station is strategically located in Jurong East with two popular shopping malls in the area directly connected to it and with the IMM shopping mall and the Ng Teng Fong Co...",0,-2,2,0,4,0
Western Islands,Jurong Island And Bukom,food,10,4.1,0,0,1,3,0,1,0,0,0,0,4,0,"You can always find some hidden gems there! Basically, if we see a stall with a long queue… we just try it 😂 🍗 Hainanese Chicken Rice — We love chicken rice! The chicken was okay, ... || Visit there on a Saturday morning about 9am. Most of the stalls are not operating yet. However we found 2 stalls that gives real value for money. The wanton mee stall ( facing the ... || 0 star for the char kway tiao and hokkien mee(#01-13)! They are terrible! No fragrance just full of salty burnt taste. Yucks. The dumplings were decent.",0,-2,-1,0,0,4
Western Islands,Jurong Island And Bukom,shopping,10,4.7,0,0,2,1,0,0,0,0,5,0,0,0,"We visited IMM Building, Singapore’s largest outlet mall, and had a good shopping experience. This place really lives up to what many reviewers say — it has all varieties from high... || Singapore's only outlet mall with all major brands under one roof. You will get good deals from top brands here. Don't forget to plan to visit here when you travel to Singapore. Mu... || IMM Mall is a great spot for shopping, especially if you’re looking for outlet deals. It has a wide range of stores, including brands like Coach, Michael Kors, Kate Spade, Charles ...",0,1,0,0,5,0
Western Islands,Jurong Island And Bukom,recreation,10,3.8,0,0,0,2,1,0,0,0,0,0,1,0,"Usually go there for table tennis. Only Table 2, 3 and 4 are good for match play. Other tables have smaller spacing and suitable only for training. || ⭐️⭐️⭐️⭐️⭐️ Jurong West Swimming Complex — Hidden Gem Alert Best Sunday experience, hands down. Not crazy crowded, which is a rare win in Singapore. The lap pool is bliss—can actual... || The Jurong West ActiveSG was very Beautiful specially when it is Night time... It is very helpful for people of all ages specially the Older & Kids to do various kinds of Workout &...",0,-2,1,0,0,1
Western Islands,Jurong Island And Bukom,nature,10,4.8,7,0,0,0,1,0,1,0,3,0,0,0,"​The park's main activities are conveniently clustered around McDonald's, which serves as a great central spot for dining, socializing, and recreation. Aside from active play, it i... || West Coast Park is a long but relatively quiet park that stretches along Singapore’s western coastline. It’s a wonderful place for a relaxed outdoor day, especially for families wi... || I do like to come to this nature park by the sea - to take in the salty air and the cool sea breeze, both of which relaxes and then invigorates me. I like to hear the waves crashin...",7,0,1,1,3,0
Western Islands,Semakau,education,10,4.5,8,1,1,1,0,0,1,0,3,0,0,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...",7,0,0,1,3,0
Western Islands,Semakau,transport,10,4.0,0,0,0,0,1,0,0,0,1,0,0,0,"NUS shuttle buses stop here. Many other SBS transit and SMRt buses stop here as well. || Excellent bus transit with clean toilet. Next to NUS. || Very small sbs bus terminal. With shade and public toilet here Bus 10 goes to vivo city, harbourfront and raffles place. Bus 33 goes to redhill mrt",0,0,1,0,1,0
Western Islands,Semakau,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Western Islands,Semakau,shopping,10,4.7,0,0,1,3,2,0,0,0,5,0,0,0,"This shopping mall is highly convenient and offers an impressive variety of stores, making it a place where you can find almost anything you need. The directory includes a well-sto... || A nice, bustling shopping mall set over multiple levels. Lots of restaurants and takeaways across multiple levels, plus a large Kopitiam food court on Level 6. Besides the eateries... || Plaza Singapura is very crowded but extremely useful. I had multiple skin and hair treatments here and got excellent results was 99.99.9% effective. You can trust the professionals...",0,-2,2,0,5,0
Western Islands,Semakau,recreation,10,4.1,2,0,1,1,3,0,0,0,2,0,0,0,"Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of ... || On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refin... || Nice and clear place and the foods are damn good 👍",2,0,3,0,2,0
