planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Singapore River,Clarke Quay,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,0,Lordson,https://www.google.com/maps/contrib/107252966649784387494/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLWiTHmVYyl50Y_THk_fptyFkGx53OwJT0qdWVUftdZtSi7yQ=s128-c0x00000000-cc-rp-mo,5,3 months ago,1774573132,"Fitness First One George is my favorite branch by far. The space is beautifully well-lit in the mornings, with a great view that really sets the mood for a good workout. You can even get a bit of sun without being bothered, which is a nice bonus.

The staff, Yogesh and her team,  trainers and cleaners are consistently friendly and approachable, and the place is always kept tidy. Locker rooms are clean and well-maintained, making the overall experience comfortable from start to finish.

The location is also very convenient. Just know your timings, and you’ll have a great workout every time. Definitely a branch I keep coming back to."
Singapore River,Clarke Quay,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,1,L B,https://www.google.com/maps/contrib/114937767343769962412/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIsmTIeE3XZw_QD0qlff5jOnKm8erlH93b4FwEHqElRKVtm6DkY=s128-c0x00000000-cc-rp-mo-ba3,5,4 months ago,1772767032,"This studio has a nice view and even gets good sunlight—perfect if you enjoy a little post-workout suntanning.

The equipment selection is complete. The floor plan is a bit small, but during off-peak hours it feels comfortable and easy to move around.
Shower and sauna areas are clean and well maintained.

The personal trainers are polite and considerate of members who train on their own.

Shout out to Dasha and the front desk team for always being friendly and welcoming. They really set the tone when you walk in!"
Singapore River,Clarke Quay,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,2,Laavaniya Mahalingam,https://www.google.com/maps/contrib/106973904075026098500/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUNIbSQkV2T5uxfpJ0RRifDss_XcsrL1A9IWTqqCvwU_DRPdcIe=s128-c0x00000000-cc-rp-mo-ba2,5,a month ago,1780541044,"Workout are always creative and challenging but what I most value is the excellent impact for every minute spent exercising. I have spent longer in the gym but with nothing like the positive result, but Dasha helped keep me focused, sharp and in shape. I have loved training with Dasha. She is a very professional, encouraging and all-round lovely person to work with.....✌️
I enjoy coming to my sessions and, with her help, discovering what I can do next.
Anyone wanting a truly dedicated PT - Dasha will do such an amazing job."
Singapore River,Clarke Quay,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,3,Peonies,https://www.google.com/maps/contrib/105461726245470429117/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIcjc2sue5TsX-0uzvf5V03lBEUC7AtQpHoyXBiTvKe6tZV8w=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778662217,"Awesome gym, awesome staff, awesome trainers.
Love the bathroom too as I’m very particular abt bathroom.
Special shout out to Ramp, Marlon, Yogesh, Dasha, Nithia, and all staff that made my experience at the gym a great one!"
Singapore River,Clarke Quay,recreation,recreation sports gyms swimming community clubs,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,Fitness First - One George Street,4.6,613,4,Thiya Liven,https://www.google.com/maps/contrib/100104215080612662425/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXImlRPTm64DPmLDhuTc7lpAXd0XTqbct_T5LTDfNkntgfYMFI=s128-c0x00000000-cc-rp-mo,5,a month ago,1780492270,"The reception Dasha was friendly, welcoming, and professional. They greeted me with a smile and made the registration process quick and smooth. Their positive attitude created a comfortable atmosphere, and they were always ready to assist with any questions. Excellent customer service and a great first impression of the gym."
Singapore River,Clarke Quay,education,education facilities schools childcare libraries,ChIJ18C-mwoZ2jERlpSawcucgk0,Clarke Quay Central,4.3,11240,0,johaira hadji-ali,https://www.google.com/maps/contrib/110457809562564298018/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXwPPZZRknatmRX99RDEwKlwE7HrZHSOiAiOOcPRdlChLcTYlwC=s128-c0x00000000-cc-rp-mo-ba3,5,2 months ago,1776820000,"Clarke Quay Central is a great mall with a fantastic view of the Boat Quay riverside 🌊🚤✨. It has a wide variety of shops to explore, and you can even find some discounted items at the first-floor lobby—perfect for a little bargain shopping 🛍️💸.
What I love most is its convenient location 📍. After shopping, you can easily walk over to Boat Quay, Fort Canning Park, the National Museum of Singapore, and other nearby attractions. It’s a nice spot to relax, shop, and enjoy the scenic surroundings all in one place 🌿🏙️.
Overall, a convenient and enjoyable place to visit if you’re in the area 👍😊"
Singapore River,Clarke Quay,education,education facilities schools childcare libraries,ChIJ18C-mwoZ2jERlpSawcucgk0,Clarke Quay Central,4.3,11240,1,edtayjb,https://www.google.com/maps/contrib/107467079327459015215/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJnxyZ0BYtgLZ6p7QJ-kzeM77_I23A7aVM-YXaEyCzSWBv6Fg=s128-c0x00000000-cc-rp-mo-ba8,4,9 months ago,1761195406,"It has been a while since I was last here - at this, in the Chinatown area, shopping mall that is patronised by locals and tourists alike. While I have always found the layout and connectivity inside the building to be at times, somewhat ""confusing"", I can see that it is still fairly popular - helped by a Don Don Donki and its food stalls at its basement level one. In fact, I was here this morning to check out its recently (?) opened food court - Sinfoodie, and I was impressed by the choice of food stalls thereat and the dining area; although admittedly, I was there well before the peak lunch hour and I did wonder what it would look like then. Anyway, I see myself returning to this shopping mall for Sinfoodie."
Singapore River,Clarke Quay,education,education facilities schools childcare libraries,ChIJ18C-mwoZ2jERlpSawcucgk0,Clarke Quay Central,4.3,11240,2,Flo Y.,https://www.google.com/maps/contrib/100625987334342106651/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXAXYGRbCGHwhFXxJ76GJl70Nk9fztWBkCwd1prTP-W1HDMy0M=s128-c0x00000000-cc-rp-mo-ba8,3,6 months ago,1767093066,"​Clarke Quay Central is undeniably awkwardly built, featuring a quirky layout that defies standard mall logic. The placement of shops and odd corners often cuts off the natural flow of foot traffic, making spontaneous discovery quite a challenge. It isn't the best place for a casual stroll if you’re looking to explore new stores."
Singapore River,Clarke Quay,education,education facilities schools childcare libraries,ChIJ18C-mwoZ2jERlpSawcucgk0,Clarke Quay Central,4.3,11240,3,K Tan,https://www.google.com/maps/contrib/105592887493237423833/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXyP7OR0umslMlymV9dCFaY-ZzThVRDhU54qcjXxI66aOxQs_ZNqQ=s128-c0x00000000-cc-rp-mo-ba8,4,a month ago,1780836266,"Clarke Quay Central is a vibrant mall popular with both tourists and locals, thanks to its prime location next to the nightlife scene along the Singapore River.
The mall offers a good mix of cafes and restaurants, with some dining spots featuring scenic river views.

In the basement, you’ll also find the bustling Japanese supermarket Don Don Donki, which is a draw on its own.
Conveniently situated near several hotels and directly above Clarke Quay MRT station, it’s especially lively and atmospheric from the evening onwards, when the riverside lights come alive."
Singapore River,Clarke Quay,education,education facilities schools childcare libraries,ChIJ18C-mwoZ2jERlpSawcucgk0,Clarke Quay Central,4.3,11240,4,kenny tay,https://www.google.com/maps/contrib/112041963967105904213/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJQcx4Vxl2PNpLDqXIQ9-iSsmxKc0yK50K-FUwV4tM0oH7Rxg=s128-c0x00000000-cc-rp-mo-ba2,5,7 months ago,1765789028,Went down last week to Taiyo Bread Shop at level 3 for a afternoon tea break. The cake is sweet & delicious. Price reasonable for this area. Environment is quiet for chill & relax for solo ranger cafe hopper like me 😃
Singapore River,Boat Quay,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,0,Madiha,https://www.google.com/maps/contrib/114242387135977753283/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHCPM5GgKJCH7JgvWv5_MxW13ltPSTlow5LjKKBTnXZqmj6g=s128-c0x00000000-cc-rp-mo-ba5,3,a month ago,1779948931,"Decent spot for variety, but not for those craving familiar Pakistani flavours
Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with plenty of options and a nice atmosphere, especially in the evening when the streets are closed off for dining.
We tried the halal stall and ordered chicken rice noodles, chicken basil vegetables, and tea tree something. While the portions were generous and the service was quick, the overall taste was quite different from what we expected. Everything had a strong seafood-like flavour profile (even the non-seafood items), which didn’t really appeal to us as I can’t stand sea food smell. It felt quite far from Pakistani taste preferences – the spices, seasoning, and balance were very different.
If you’re in the mood to explore local Singaporean or Southeast Asian hawker food and try new things, Lau Pa Sat is a great place with lots of variety. However, if you’re particular about your food and want something closer to Pakistani cuisine, this might not be the best choice.
Cleanliness was just fine for a busy hawker centre, and the pricing was reasonable. Good for tourists or casual explorers, but we probably won’t rush back."
Singapore River,Boat Quay,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,1,Franco Migliorati,https://www.google.com/maps/contrib/100371330244756270290/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVkZnEeD-A71-8sTYTmOmEFkth5fm4r4G3NJjaT8fP8fl_T-hUoqw=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772028535,"fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singaporean, etc. There's something for everyone. Good ventilation and plenty of tables but the place is always packed and noisy (it doesn't take away the enjoyment). A must to visit."
