planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Western Water Catchment,Bahar,education,60,4.2,6,0,0,1,6,0,0,0,7,0,1,0,"🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ || Queries were not always clearly addressed. There is significant room for improvement in creating a more inclusive and supportive environment for young learners, especially those wi... || Environment is excellent. Beginning of this year the Jurong west Moe kindergarten added a new fish pond with mini waterfall. Guppies live happily with baby guppies in the pond with...",6,-1,6,0,7,1
Western Water Catchment,Bahar,transport,18,4.056,0,0,0,0,0,0,0,0,2,0,0,0,"Construction is very fast, I hope to see how it will play out once it opens || Hope a mall can be planned and built around this station. There’re many residence blocks in this area but limited shops in the immediate vicinity. Closest malls are Jurong Point an... || Under construction, to be operational by 2027. Provides essential connectivity for nearby primary and high schools, the fire station and the temple.",0,0,0,0,2,0
Western Water Catchment,Bahar,food,31,3.903,1,1,1,3,4,0,0,2,1,0,2,3,"Bought 红油抄手 from a beef noodle shop. OMG, every dumpling is so big and the sauce is so savoury with black vinegar. Best I have ever eaten! || This is one of the best hawker centre in Singapore. Has the highest ratio of best rated food here. Its clean airy and toilet are extremely clean too. The most famous food here is t... || Great little Hawker by Singapore River. Chicken was good, bowl of miso tasty and Char Siu Pork also very good. The Bok Choi in light soy excellent. Recommend Bandung drink. If it r...",0,-2,4,-2,1,-1
Western Water Catchment,Bahar,shopping,36,3.889,1,0,3,2,0,0,0,2,10,0,3,0,"Jurong Point has really evolved into one of the largest and most comprehensive suburban malls in Singapore over the years. The mall keeps expanding and now offers an impressive var... || Jurong Point is one of the more convenient suburban malls in Singapore with a huge variety of shops, supermarkets, restaurants and daily necessities all under one roof. The mall is... || As one of Singapore’s largest suburban malls, Jurong Point serves as a massive retail and lifestyle hub for the West. It’s famous for its immersive themed precincts and endless foo...",1,1,0,-2,10,3
Western Water Catchment,Bahar,recreation,55,4.145,6,1,4,3,14,0,1,1,7,1,6,0,Value for money if you’re not too fuss about cleanliness & equipment condition. One of the cheapest gym in town. Opens 24/7. Peak hour might be pack and off-peak might not have a s... || Very well equipped gym with everything you'll need for a good strength workout! || Been at this gym for the past 1 year. And really lucky I came across this gym to kick-start my gym journey as I started off with zero knowledge and met many new people there who ar...,5,1,14,0,6,6
Western Water Catchment,Bahar,nature,44,4.409,23,0,2,4,5,0,3,0,3,1,0,0,"​The park's main activities are conveniently clustered around McDonald's, which serves as a great central spot for dining, socializing, and recreation. Aside from active play, it i... || West Coast Park is a long but relatively quiet park that stretches along Singapore’s western coastline. It’s a wonderful place for a relaxed outdoor day, especially for families wi... || I do like to come to this nature park by the sea - to take in the salty air and the cool sea breeze, both of which relaxes and then invigorates me. I like to hear the waves crashin...",23,-2,5,3,2,0
Western Water Catchment,Cleantech,education,43,4.488,7,0,3,1,1,0,4,0,2,0,0,1,"My 4 year old daughter just got transferred to Raffleskidz school this mid year and I so happy that I made the perfect choice for her. The staff has made it a very conducive enviro... || Our child has been at this preschool for the past 1.5 years, and one thing we’ve really valued is the stability of the team. The teachers and principal — as well as the cook and cl... || A great school with modern facilities located in a modern building. If you're thinking of enrolling your kids here: - Has underground parking and lift access directly in front of t...",7,2,1,4,2,-1
Western Water Catchment,Cleantech,transport,17,4.0,2,0,1,2,6,0,0,0,3,0,0,0,This Station Will be Open in 2029. This Station is The Part of The Phase 3 Of The Jurong Region Line (JRL). This Station Will Service The Nanyang Technology University (NTU) In The... || This Station Is Located At Nanyang Technological University. This Station Scheduled Open In 2029 4 Years Later. || This Station Is Open In 2029? How Long Is It?,2,-1,6,0,3,0
Western Water Catchment,Cleantech,food,45,4.022,1,0,6,9,8,0,1,0,1,0,5,1,"There are lots of food options here with affordable price. I personally like the western food, Japanese food and mixed veg rice here. If you are first time here, recommend the west... || Found this very nice pan-fried pork bun @Xiangyu Pan-Fried Bun stall in the new Jurong West hawker center. Very hot & juicy inside. Nicer than xiao long bao. Place is very spacious... || One of my favourite hawker centers! The seating is spacious and the fans make it cool. The food is always delicious, authentic and there are some unique stalls that serve up someth...",1,-3,8,1,1,4
Western Water Catchment,Cleantech,shopping,26,3.0,0,0,0,1,3,0,0,0,0,0,3,0,"Yew Tee Point is located outside the Yew Tee MRT Station. It's very easy to miss because of the ongoing renovation that is happening in the middle of the square. Unlike the square,... || First time here and will be the last. The security is so rude and stucked up. There is no motorcycle lots at this mall. The security guard shouted ""Hello! No parking here"". When as... || Fire alarm went off but security do not allow people to take the escalator and leave the basement level. This is highly unusual as it could be an actual fire.",0,-1,3,0,0,3
Western Water Catchment,Cleantech,recreation,22,4.864,0,0,0,1,1,0,0,0,3,0,0,0,"Very good experience at Empwer fitness on a Monday noon strength session. Highly recommend for all the women’s who want to feel strong during 1 hour. || Since joining the hyrox group training at Empower Fitness I’ve seen major improvements in performance. Lizzie’s advice has greatly improved my station work, and the structured clas... || If you're training for Hyrox, this is a great place to workout. They have the same equipment, stations measured at the correct specs, new equipment, etc. I just wish they had more ...",0,-1,1,0,3,0
Western Water Catchment,Cleantech,nature,10,4.8,0,0,0,0,1,0,0,0,1,0,0,0,"Fresh air, peace ambience with occasional sounds of soothing birds singing rhythmically. More needs to be done to entice nature lovers to appreciate this park. It was a Sunday morn... || Great for walking and jogging. There's an eco garden near by. Watch out for wild animals like monkeys and boars. Green snakes are quite common too. There's a toilet and water dispe... || nice and quite place. But no sufficient food court nearby.",0,0,1,0,1,0
Western Water Catchment,Murai,education,29,4.138,0,1,2,0,2,0,1,1,1,0,0,0,Our son and daughter both attended Rain Trees and they loved every moment of their time there. It provides a wonderfully nurturing and engaging environment for children and ours we... || Raintrees has been the perfect preparation for our daughter for international school. Rohini and her team are experienced educators and were invested in her development journey rig... || We started our son at Rain Trees March 2025. It has been the best education experience for our son and a great ride for us as parents. We selected Rain Trees for its commitment to ...,-1,2,2,0,1,0
Western Water Catchment,Murai,transport,17,4.0,0,0,0,0,0,0,0,0,1,0,0,0,Bus stop had moved nearer to pedestrian crossing junction || It's a normal bus stop. || Nice place.,0,0,0,0,1,0
Western Water Catchment,Murai,food,26,4.0,6,0,1,2,2,0,0,0,3,0,1,1,"This food court is located at the top floor of Kent Ridge MRT Station. Environment is clean and spacious. Teh was good. However, food were expensive for the average taste and quali... || Not the best food quality in my experience hit and miss in some store. The BCM store is it a hybrid I never seen a fried meatball in the noodles and the taste of the seasoning not ... || The bak chor mee from the stall Noodle Master was not bad but it’s too spicy. The stall operator didn’t bother to ask if we needed it to be spicy, tomato, or plain. Looks like they...",6,-1,2,0,3,0
