planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJ____L-gW2jERhNi3iyGZ39w,Ang Mo Kio Library,"4300 Ang Mo Kio Ave 6, Singapore 569842",4.5,358,"[""establishment"", ""library"", ""point_of_interest""]",1.3748331,103.845503,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJYTzVZJ0X2jEREenDAkV7sOE,Good School Learning Hub - Ang Mo Kio,"703 Ang Mo Kio Ave 8, #01-2535, Singapore 560703",5.0,7,"[""establishment"", ""point_of_interest""]",1.3697965,103.8473553,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJcRV1eoUX2jER12a2a3HQX6M,Raffles Kidz @ Ang Mo Kio – Best Childcare Centre and Preschool (along Yio Chu Kang Rd),"7 Ang Mo Kio Street 66, #01-18, Singapore 567708",4.9,39,"[""establishment"", ""point_of_interest""]",1.3918345,103.8507932,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJj5C2Fu8X2jERQyR7ccPVW0I,PlayFACTO School Student Care Ang Mo Kio,"728 Ang Mo Kio Ave 6, #01-4216/18, Singapore 560728",4.9,16,"[""establishment"", ""point_of_interest""]",1.3727031,103.8456739,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJy2_m5-IW2jERP_bbcJwNwec,Little Olive Tree (Ang Mo Kio),"442 Ang Mo Kio Ave 10, #01-1205, Singapore 560442",5.0,6,"[""establishment"", ""point_of_interest""]",1.3656709,103.8552277,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJQ0NX-jkX2jER9b1F_iCf_ko,EduFirst Learning Centre (Ang Mo Kio AMK) - English Math Chinese Science Tuition Student Care,"720 Ang Mo Kio Ave 6, #02-4122, Singapore 560720",4.8,83,"[""establishment"", ""point_of_interest""]",1.3718126,103.8469791,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJFyzcZ5AW2jER01_mHnAYcWk,Kinderland Academy @ Yio Chu Kang,"449 Yio Chu Kang Rd, Singapore 805946",4.9,37,"[""establishment"", ""point_of_interest"", ""school""]",1.3909531,103.8541442,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJ_67z3t0W2jERJZGkY6Ianc4,My First Skool at Blk 229 Ang Mo Kio,"229 Ang Mo Kio Ave 3, #01-1272 Block 229, Singapore 560229",5.0,54,"[""establishment"", ""point_of_interest"", ""school""]",1.369412,103.8380669,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJM4tysOEW2jERn4A6qZH9tGw,Star Learners @ Ang Mo Kio | Preschool & Childcare,"320 Ang Mo Kio Ave 1, #01-1521, Singapore 560320",4.9,35,"[""establishment"", ""point_of_interest"", ""school""]",1.365674,103.8483794,True
Ang Mo Kio,Ang Mo Kio Town Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Ang Mo Kio Town Centre, Ang Mo Kio, Singapore",ChIJ63D_eOcW2jERYm52zKWYwbw,Jamiyah childcare centre,"124 Ang Mo Kio Ave 6, Singapore 560124",5.0,3,"[""establishment"", ""point_of_interest""]",1.3708545,103.8451697,True
