planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Clementi,Clementi Central,education,55,4.564,7,4,2,4,5,0,5,0,7,0,0,1,"Ms Jae is a truly wonderful childcare teacher. She is caring, gentle, and deeply dedicated to her work. My child has been at the centre since 18 months old and is now 6 years old. ... || I am writing this review to express my heartfelt appreciation for the outstanding work being done at Touch ChildCare - Clementi. As a parent, it brings me immense peace of mind to ... || We are very happy to enrol our firstborn at TOUCH Clementi. Everyone in the centre is so friendly and welcoming to all children, making it a loving and conducive environment for th...",3,-2,5,5,7,-1
Clementi,Clementi Central,transport,25,3.2,0,0,0,4,2,0,0,0,10,0,1,0,"Very convenient to shopping Malls and bus stop. Theatre are bunch of shopping mall. Roam around this place is fun enjoyed shopping at Clementi Mall. || Horrible clementi mrt station!!! I dont like being controlled by your mrt station staff to tell me where to walk. ""Dont move, move to your right."" I HATE ORDER!!!!!!!!! Please tell... || Very helpful and friendly mrt assistance officers, big thanks for both of them. Didn't check their name. Abang and kakak on duty @10.18am , 2nd of February 😍😍😍",0,-4,2,0,10,1
Clementi,Clementi Central,food,35,4.086,1,0,0,5,1,0,0,0,0,1,3,2,"First time visiting 448 Market & Food Centre in the bustling heart of Clementi. So many hawker stalls with tempting and delicious-looking food. Settled on the famous wanton noodles... || Great Food Hub: A Gastronomical Gem Worth the Hype (and the Queues) This hawker centre is a true food lover’s paradise, packed with wonderful stalls that serve up incredible eats. ... || The western food stall that's inside, quite solid. The chicken chop portion is generous and sauce is on point. For $6, this is damn worth it. Can use CDC also. This food center is ...",1,-5,1,0,-1,1
Clementi,Clementi Central,shopping,26,3.192,1,0,1,4,1,0,0,0,3,0,2,0,"Huge place with many stalls serving local food and stores selling a wide variety of goods ranging from fruits to household items. Definitely check out the vibrant night market too.... || Good neighbourhood food Center at Clementi central opposite MRT train station. Have not been here for sometimes (2 years) quite few of my favourite stalls have moved out 😢 || Many people smoke everywhere, resulting in second-hand smoke exposure that is harmful to public health. Public walkway is being obstructed by shops displaying items and poster bann...",1,-3,1,0,3,2
Clementi,Clementi Central,recreation,41,4.098,2,2,0,3,4,0,0,1,12,0,2,1,"It's clean and well maintained enough given the very cheap price of using the gym. Wide selection of machines and equipment considering the space constraints so really no complaint... || I came here while I was a staff at SportSg, the staff there didn’t seem to like that I was entitled to free entry. Did my workout which included bench press without using the clips... || Well-equipped and well-maintained equipment, friendly staff and all the areas of workouts are covered, what more you need in a Gym, if we can manage time well and be a little consi...",0,-3,4,-1,12,1
Clementi,Clementi Central,nature,41,4.122,6,1,0,0,1,0,2,0,3,1,1,0,"🌳Clementi Neighbourhood Park is located at the junction of Clementi Road and Clementi Street 13, bound by Maju Forest and Brookvale Drive. 🏟️🥋🪑A sparing neighbourhood park with an ... || Great neighborhood Park. Top chat. Chat. Ten out of ten chat. What's your chat? Mysterious... || Is a very quiet park,normally not many people as when i passed by.",5,0,1,2,2,1
Clementi,Clementi North,education,20,4.1,4,1,0,0,1,0,2,1,0,0,1,0,Today is my first Parent Teacher Conference Session! Teacher Zhi Ning and Teacher Pooiyan have share about the progression of my child in school such as her strength and weakness. ... || I am writing this review to express my deepest appreciation to Principal Janna & teachers who have dedicated themselves to my daughter at My First Skool. My daughter’s immense prog... || Really thankful to the teachers and staff at Infant Class “Love.” Special thanks to Ms Lela and everyone in the team for always showing so much care and patience. As first time par...,3,0,1,1,0,1
Clementi,Clementi North,transport,5,2.6,0,0,0,3,0,0,0,0,1,0,0,0,"I often take the bus from this stop, and it tends to get very crowded during peak hours, especially in the mornings. Many students use it to travel to SIM, Ngee Ann Polytechnic, or... || “Why is Singapore’s bus system so bad? Buses don’t run like a pendulum — instead of coming one by one at 5–8 minute intervals, I have to wait 15 minutes for two buses to arrive at ... || Take bus 201 to go to Opposite Kent Ridge secondary school bus stop.",0,-3,0,0,1,0
Clementi,Clementi North,food,15,4.533,6,0,0,4,3,0,1,0,1,0,1,1,"I read good reviews about the roasted chicken that it is soft, tender and juicy, somewhat like Kenny Rogers. But it was real disappointment that mine came out dry and overcooked, d... || Just found this place which I believe opened only in Jan 26 (Mistake - was informed end 24) Had the Truffle Carbonara, Cheese Baked Rice and Beef Bulgogi Don. Each item was about $... || Hidden gem in Clementi. Set below a cosy HDB it's easy to miss this. This is my kind of place, very quiet , not too crowded, and a very friendly waiter/barista.. Ordered the breakf...",6,-4,3,1,1,0
Clementi,Clementi North,shopping,15,4.533,0,0,0,3,1,0,0,0,3,0,3,0,Fantastic supermarket located within walking distance of the NUS University Town featuring a terrific selection of products as well as remarkably reasonable prices. There is a grea... || We would like to compliment the staff service especially Aw Jian Chong (fish counter) for his excellent service and patience adhering to our requests. || We always enjoy shop there their staff is so friendly n food is fresh. Whatever we need they will have.Cheers,0,-3,1,0,3,3
Clementi,Clementi North,recreation,6,4.667,0,0,1,1,4,0,1,0,0,0,0,0,"I love AF Clementi 354! Cozy 2 floor gym, with the cardio machines and racks on the first floor, while you have pin loaded machines on the second floor. You can find almost everyth... || ABSOLUTELY AMAZING! This Anytime Fitness branch is hands down one of the BEST gyms I’ve ever been to! The facility is spotless, modern, and packed with all the equipment you could ... || A gym with a great functional training space, equipment and a really welcoming vibe. The staff are always friendly and helpful, and I appreciate how quickly new equipment gets adde...",0,0,4,1,0,0
Clementi,Clementi North,nature,10,4.8,3,0,0,0,2,0,1,0,3,0,0,0,"beautiful brand estate with lovely lanscaping, loads of amenities like Sheng Shiong supermarket and Kopitiam corner. It is also very well maintained and cleaning. therevwas a cool ... || A new BTO development in Clementi, which features playgrounds, fitness corners, and connected to the PCN. Expected more additions by the 2nd quarter of 2024 include Sheng Siong sup... || A very nice place and have alot of playground also good sunset location The bad thing is that Google have wrong pictures on one side and correct pictures on the other side",3,0,2,1,3,0
Clementi,Clementi West,education,15,4.867,0,0,0,0,0,0,4,0,0,0,0,0,"We’ve had such a wonderful experience with Zee Learning Cove! The teachers are incredibly attentive, caring, and genuinely dedicated to each child’s well-being and development. The... || I couldn’t be more grateful for the incredible care, expertise, and support my child has received at Zee Learning Cove. From day one, it was clear that this is a place where every ... || Zee Learning Cove provides exceptionally careful childcare. Teacher Sherine ,teacher Bel and anll the teachers are attentive, nurturing, and deeply committed to each child’s well-b...",0,0,0,4,0,0
Clementi,Clementi West,transport,10,4.7,0,0,0,3,0,0,0,0,3,0,0,0,"Again remind me with david || Nice place || I had such a fantastic experience at Clementi MRT Exit D! The service was incredibly smooth and fast, making my commute a breeze. Highly recommend! 🌟🚄💨",0,-3,0,0,3,0
