planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Museum,Bras Basah,education,70,4.486,5,2,3,2,5,0,6,1,3,0,3,0,"NAFA Arts Preschool has a very well-rounded and holistic curriculum for their students. My daughter has learned and grown a lot since she joined in January 2023. The Principal and ... || As a parent whose child has experienced 2 different preschools (and with nephews in other preschools), I can confidently say that APS has exceeded all my expectations. Not only do ... || The principal of NAFA Art Pre School does not CARE ABOUT HER STUDENTS AND STAFF, and I must say, it was one of the worst experiences I've had with an educational administrator. Thi...",3,1,5,5,3,3
Museum,Bras Basah,transport,16,4.625,1,1,1,2,9,0,1,0,5,0,1,0,"This is an excellently located station along the Circle Line, that is even a short walk underground to the Downtown Line. Would have loved if this station were open when I was stil... || One of the more aesthetically-pleasing train stations in my opinion, with natural light seeping in through transparent glass tops with artificial water features. Creates a really n... || This station is the offical MRT station catered for SMU students and surrounding office workers. During the weekend it could be a bit noisy due to the vicinity being the practise g...",0,-1,9,1,5,1
Museum,Bras Basah,food,45,4.111,4,6,0,10,1,4,0,1,1,0,6,3,"Situated right next to the bustling Bugis Street and the famous Kwan Im Thong Hood Cho Temple, Albert Centre is a must-explore hawker complex. Chwee Kueh are little steamed rice ca... || Albert Centre Market & Food Centre is quite popular. This food center is surrounded by Sim Lim Square, famous Chinese Temple and Indian Temple and many retail shops and office buil... || A very authentic local hawker centre right in the heart of Bugis. Plenty of food choices at affordable prices, from fishball noodles to yong tau foo and traditional desserts. What ...",-2,-10,-3,-1,1,3
Museum,Bras Basah,shopping,31,4.129,1,0,1,7,2,1,0,0,9,0,11,0,"Visited this place ever first time and was surprised to see it totally quiet place as compared to the last time hype. It was such a famous town place in the past and now it has onl... || Bras basah Complex is one of the oldest malls we have been going since young. This is one of the places to go for art resources. We would usually go to the Art-Fren and popular her... || Bras Basah Complex feels like a surviving time capsule from Singapore in the 1980s and 1990s. Walking through the corridors brought back memories of old-school bookshops, watch rep...",1,-6,1,0,9,11
Museum,Bras Basah,recreation,60,4.267,2,0,5,13,15,0,6,0,10,0,3,2,"Such a lovely women-only gym space. You can really feel the care that has gone into setting everything up. The gym is clean, tidy, and feels very comfortable to be in, which makes ... || Love the all girls gym space! Feels like a safe and closed space to workout and not feel shy. Location is really accessible by multiple busses and MRT. Love that there’s even a pra... || Love this space!! I went for their introductory class for a guided full body workout session with all the machines (sans the treadmill) and it was comprehensive and friendly for be...",2,-8,15,6,10,1
Museum,Bras Basah,nature,52,4.288,30,0,3,5,7,0,3,0,9,1,1,0,"It's a mixed feeling coming to this carpark, given that it's price-efficient, yet perpetually filled no matter the time of the day. It gives you access to the nearby coffee shops a... || Always packed with cars. Cars get in, and cars get out cuz there's no place to park. There's a digital monitor that indicates the vacant spot but nobody gives a damn bout it. On Fr... || Opposite of bugis plus. Usually full.",30,-2,7,3,8,1
Museum,Dhoby Ghaut,education,45,4.778,0,1,3,2,8,0,2,0,4,0,1,1,"Our experience with House on the Hill Mount Sophia has been truly wonderful. My daughter, Arya, started school here at just 18 months old, and over the past 1.5 years we have seen ... || If possible I would rate 6 stars! House on the Hill has been a wonderful place for my child. The teachers truly care about the children and are very attentive to their emotional ne... || House on the Hill provide early childhood education programmes focused on holistic learning and development. Their facilities include classrooms and play areas designed to provide ...",-1,1,8,2,4,0
Museum,Dhoby Ghaut,transport,20,4.5,0,0,3,1,7,1,0,0,13,0,2,0,"This MRT Station has three MRT lines running through it - the Circle Line, the North South Line and the North East Line. For me, Dhoby Ghaut MRT Station is a convenient MRT Station... || ⭐⭐⭐⭐⭐ Dhoby Ghaut MRT Station is one of the most important and well-connected MRT stations in Singapore. It connects multiple lines, making travel across the city extremely conveni... || Dhoby Ghaut MRT Station (NE6) is one of the busiest and most convenient transport hubs in Singapore, serving as a major interchange that connects the North-East Line, North-South L...",0,2,6,0,13,2
Museum,Dhoby Ghaut,food,35,4.543,5,0,2,8,4,2,0,0,4,0,5,2,"We visited Maxwell Food Centre at around 8:00 AM on a Monday, so it was still relatively quiet with very few queues. Unfortunately, the famous chicken rice stall was closed, which ... || There’s a wide variety of food and the laksa was absolutely amazing. It’s cheaper if you pay cash instead of card. The staffs in charge of cleaning the trays were really proactive.... || I was here in the evening time and most of the stalls were closed for the day. But I am very fortunate of finding a chicken rice shop still open. Uncle Louis Famous chicken rice. U...",5,-6,2,0,4,3
Museum,Dhoby Ghaut,shopping,30,3.633,0,0,2,0,0,0,0,0,2,1,0,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,2,0,0,1,-1
