planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Outram,China Square,education,10,4.2,2,0,0,2,1,0,0,0,1,0,0,0,"One of the best national libraries I’ve seen, with a large number of books to rent. 24/7 book drop, a lot of magazines available to read, plenty of quiet, comfy and beautiful areas... || Perhaps the largest public library in Singapore. Hard to find a librarian for assistance, and bookings for seats are required if you do not want to be asked to leave just because s... || Came purely for the kids section of the library and it sure lived up to our expectations. The little one thoroughly enjoyed himself amidst the aquarium themed library and the endle...",2,-2,1,0,1,0
Outram,China Square,transport,10,4.4,0,0,1,2,3,0,0,0,7,0,3,0,"Malls and five-star hotels. There’s the Michelin-row of restaurants. Chinatown SG is the best area to stay. Clean and not crowded. || Very centralized. Food plentiful, hdb public housing nearby facing City skyline offices. Good mix of shops food merchandise massage parlors at People's park complex. MRT a walking ... || Chinatown MRT Station (NE4/DT19) is a vibrant and centrally located transit hub in Singapore, serving the North-East Line (NEL) and Downtown Line (DTL). Situated in the heart of Ch...",0,-1,3,0,7,3
Outram,China Square,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Outram,China Square,shopping,10,4.8,0,0,0,0,5,0,0,0,4,0,0,1,"A lifesaver in the heat of Chinatown! Located right above the MRT station, this mall is the perfect place to cool down. I highly recommend visiting the NTUC FairPrice supermarket i... || I really enjoy walking around here, the streets are very walkable, clean. There are so many food spots, cafe, and small shops, so it never feels boring. Easy to access by MRT and a... || Chinatown has the old side that has not changed and the new side with full of contemporary restaurants. In the center is a beautiful temple. Along the streets are full of shops sel...",0,0,5,0,4,-1
Outram,China Square,recreation,10,4.8,0,1,1,0,3,0,0,0,1,0,0,0,"The Singapore Recreation Club (SRC) Review on 20/1/2026 The Singapore Recreation Club (SRC), founded in 1883 and set along the iconic Padang, is one of Singapore’s most historic so... || Private club in central district with roofed warm and cold swimming pool, restaurant, bar with live band and cafe. Cost environment for private gathering and easily accessible by M... || Dinner with an old friend at the SRC'S Chinese Restaurant. Reminiscent of the old days in Singapore, with traditions alive and well. Very pleasant evening 😊😋",-1,1,3,0,1,0
Outram,China Square,nature,10,5.0,10,0,2,1,2,0,0,0,2,0,0,0,"Gardens by the Bay is truly an amazing place and definitely a must-visit attraction in Singapore. The entire area is beautifully designed, extremely clean, and very well maintained... || Gardens by the Bay is truly a highlight of Singapore and absolutely not to be missed. I’d highly recommend getting a combo ticket for the Cloud Forest and Flower Dome—plan for abou... || Gardens by the Bay is absolutely magical and one of my favorite spots in Singapore. The Supertree Grove is stunning, especially at night when the light and sound show begins—it fee...",10,1,2,0,2,0
Outram,Chinatown,education,10,4.8,6,1,2,1,0,0,0,0,2,0,0,0,"​If you're looking for the most scenic library in Singapore, this is it. Located on the 3rd floor of VivoCity, library@harbourfront is a masterclass in modern, functional design. ​... || Visited Library @ HarbourFront — one of the nicest local libraries to relax and enjoy some quiet time with a book. The view overlooking Sentosa Island adds to the calming ambiance,... || staff are attentive to library users needs: noticed staff approached, 2grandmas and a lady with infant in hand and her pre schooler, to park the stroller to the designated area to ...",5,1,0,0,2,0
Outram,Chinatown,transport,10,4.5,0,0,1,4,1,0,0,0,7,0,0,0,"Malls and five-star hotels. There’s the Michelin-row of restaurants. Chinatown SG is the best area to stay. Clean and not crowded. || Very centralized. Food plentiful, hdb public housing nearby facing City skyline offices. Good mix of shops food merchandise massage parlors at People's park complex. MRT a walking ... || Chinatown MRT Station (NE4/DT19) is a vibrant and centrally located transit hub in Singapore, serving the North-East Line (NEL) and Downtown Line (DTL). Situated in the heart of Ch...",0,-3,1,0,7,0
Outram,Chinatown,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Outram,Chinatown,shopping,10,4.8,0,0,0,6,2,0,0,0,6,0,6,0,"This shopping mall is highly convenient and offers an impressive variety of stores, making it a place where you can find almost anything you need. The directory includes a well-sto... || A nice, bustling shopping mall set over multiple levels. Lots of restaurants and takeaways across multiple levels, plus a large Kopitiam food court on Level 6. Besides the eateries... || Plaza Singapura is very crowded but extremely useful. I had multiple skin and hair treatments here and got excellent results was 99.99.9% effective. You can trust the professionals...",0,-6,2,0,6,6
