planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Geylang,Aljunied,education,10,4.8,3,2,2,0,1,0,0,0,2,0,0,0,"Visited the National Library Building mainly for The Albatross File: Singapore’s Independence Declassified exhibition, and it turned out to be a meaningful experience. The exhibiti... || The National Library is conveniently located with good traffic access from around the island. It’s a comfy cool place to be if your want to study, research and just reading. You ma... || The Albatross File exhibition at NLB is a fascinating showcase of Singapore’s separation history, featuring declassified documents, oral histories, and immersive multimedia display...",1,2,1,0,2,0
Geylang,Aljunied,transport,10,4.4,1,0,1,0,3,0,0,0,4,0,1,0,"I was at this MRT Station today (21 NOVEMBER 2025) alighting thereat to go to a lunch venue sort of nearby at Aljunied Avenue 2, and embarking on my journey here afterwards to go h... || ​This is a nice MRT station, conveniently located in the heart of all the hustle and bustle. Everything inside is clean and properly systemized, making for a great travel experienc... || Aljunied MRT Station (EW9) is a convenient stop on Singapore’s East-West Line, offering easy access to both residential and commercial areas. The station is clean, well-maintained,...",1,1,3,0,4,1
Geylang,Aljunied,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Geylang,Aljunied,shopping,10,4.8,0,0,0,3,0,0,0,0,6,0,6,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,-3,0,0,6,5
Geylang,Aljunied,recreation,10,4.2,1,0,0,1,0,0,0,0,2,0,1,0,"Staff is just ignoring you. Asked for a menu at the bar two times - the lady said “give me a minute” and never came back. And it’s not because they’re super busy - they just don’t ... || Restaurant have several hit and miss cuisines but the most recent visit had me trying the fish and fries. It was really good and affordable. The fish was not overly battered and th... || Singapore Swimming Club has a great selection of Indian food and have always enjoyed the food, especially someone who is very discerning. Having said that, off late the quality of ...",1,-1,0,0,2,1
Geylang,Aljunied,nature,10,5.0,10,0,2,5,7,0,0,0,2,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",10,-3,7,0,2,0
Geylang,Geylang East,education,10,4.6,1,0,2,0,0,0,4,0,0,0,0,0,"Even though this library is not as big as Woodlands and Jurong East Regional Libraries, it still carries plenty of books and it’s spacious enough too with plenty of comfortable sea... || My rating: 4/5 What I like in libraries: Books that are available that I originally have on my online To-Be-Read (TBR). Spacious environments. Multiple book genres. I wish that the... || Air quality in this library is really bad. I don’t think it’s suitable for kids/teens. Carpet floor collects so much dust, should be replaced. This is my go to library in my pri sc...",1,2,0,4,0,0
Geylang,Geylang East,transport,10,4.4,0,0,3,3,6,0,1,0,8,0,1,0,"I was at this MRT Station today (21 NOVEMBER 2025) alighting thereat to go to a lunch venue sort of nearby at Aljunied Avenue 2, and embarking on my journey here afterwards to go h... || ​This is a nice MRT station, conveniently located in the heart of all the hustle and bustle. Everything inside is clean and properly systemized, making for a great travel experienc... || Aljunied MRT Station (EW9) is a convenient stop on Singapore’s East-West Line, offering easy access to both residential and commercial areas. The station is clean, well-maintained,...",0,0,6,1,8,1
Geylang,Geylang East,food,10,4.5,0,3,0,5,1,0,0,0,0,0,2,3,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-3,-5,1,0,0,-1
Geylang,Geylang East,shopping,10,4.8,0,0,0,0,1,0,0,0,3,0,0,1,"fantastic family outing on a Sunday morning; bustling atmosphere, and authentic local energy. The upstairs food court is a standout, serving a wide variety of delicious dishes. Add... || It has a great collection of Malaysian and halal foods with some of the stalls being frequently mentioned in my food research as some of the best. There's also a market on the grou... || One of the oldest markets in Singapore. Now, very nicely renovated. It has two sections: one is the agri-food market, the other is a hawker center where you can eat cheaply and wel...",0,0,1,0,3,-1
