planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Clementi,Clementi Central,education,60,4.483,11,4,3,6,6,0,6,0,7,1,1,1,"Our family has been part of the Clementi Woods Kindergarten (CWK) community for several years, and we couldn’t be more grateful for the experience. From day one, CWK has felt like ... || A fairly good kindergarten with kind and helpful staff. The admin team is really good and accommodating. However, the start of each day at CWK is overstimulating for a preschooler ... || This is the best kindergarten you can send your child to. All my four children attend this kindergarten. It is not expensive. They have a holistic program that expose your child to...",7,-3,6,6,6,0
Clementi,Clementi Central,transport,25,3.04,0,0,0,4,2,0,0,0,10,0,1,0,"Very convenient to shopping Malls and bus stop. Theatre are bunch of shopping mall. Roam around this place is fun enjoyed shopping at Clementi Mall. || Horrible clementi mrt station!!! I dont like being controlled by your mrt station staff to tell me where to walk. ""Dont move, move to your right."" I HATE ORDER!!!!!!!!! Please tell... || Very helpful and friendly mrt assistance officers, big thanks for both of them. Didn't check their name. Abang and kakak on duty @10.18am , 2nd of February 😍😍😍",0,-4,2,0,10,1
Clementi,Clementi Central,food,35,3.943,1,0,0,6,1,0,0,0,1,1,2,2,"First time visiting 448 Market & Food Centre in the bustling heart of Clementi. So many hawker stalls with tempting and delicious-looking food. Settled on the famous wanton noodles... || The western food stall that's inside, quite solid. The chicken chop portion is generous and sauce is on point. For $6, this is damn worth it. Can use CDC also. This food center is ... || Great Food Hub: A Gastronomical Gem Worth the Hype (and the Queues) This hawker centre is a true food lover’s paradise, packed with wonderful stalls that serve up incredible eats. ...",1,-6,1,0,0,0
Clementi,Clementi Central,shopping,26,3.423,2,0,3,5,1,0,0,0,3,0,3,0,"Huge place with many stalls serving local food and stores selling a wide variety of goods ranging from fruits to household items. Definitely check out the vibrant night market too.... || Good neighbourhood food Center at Clementi central opposite MRT train station. Have not been here for sometimes (2 years) quite few of my favourite stalls have moved out 😢 || Many people smoke everywhere, resulting in second-hand smoke exposure that is harmful to public health. Public walkway is being obstructed by shops displaying items and poster bann...",2,-2,1,0,3,3
Clementi,Clementi Central,recreation,41,4.073,2,2,0,2,4,0,0,1,12,0,2,1,"CLOSED from 1st July 2026 to Q2 2029. And we were happy they had facelift abt 2years ago! Really waste of funds! Time for ActiveSg to automate the entry into sport facilities with ... || It's clean and well maintained enough given the very cheap price of using the gym. Wide selection of machines and equipment considering the space constraints so really no complaint... || I came here while I was a staff at SportSg, the staff there didn’t seem to like that I was entitled to free entry. Did my workout which included bench press without using the clips...",0,-2,4,-1,12,1
Clementi,Clementi Central,nature,36,4.333,5,0,0,0,2,0,2,0,4,1,1,0,"🌳Clementi Neighbourhood Park is located at the junction of Clementi Road and Clementi Street 13, bound by Maju Forest and Brookvale Drive. 🏟️🥋🪑A sparing neighbourhood park with an ... || Great neighborhood Park. Top chat. Chat. Ten out of ten chat. What's your chat? Mysterious... || Is a very quiet park,normally not many people as when i passed by.",5,0,2,2,3,1
Clementi,Clementi North,education,15,4.933,0,0,0,0,0,0,3,0,0,0,0,0,Today is my first Parent Teacher Conference Session! Teacher Zhi Ning and Teacher Pooiyan have share about the progression of my child in school such as her strength and weakness. ... || I am writing this review to express my deepest appreciation to Principal Janna & teachers who have dedicated themselves to my daughter at My First Skool. My daughter’s immense prog... || Really thankful to the teachers and staff at Infant Class “Love.” Special thanks to Ms Lela and everyone in the team for always showing so much care and patience. As first time par...,0,0,0,3,0,0
Clementi,Clementi North,transport,6,3.0,0,0,0,3,0,0,0,0,1,0,0,0,"I often take the bus from this stop, and it tends to get very crowded during peak hours, especially in the mornings. Many students use it to travel to SIM, Ngee Ann Polytechnic, or... || “Why is Singapore’s bus system so bad? Buses don’t run like a pendulum — instead of coming one by one at 5–8 minute intervals, I have to wait 15 minutes for two buses to arrive at ... || Take bus 201 to go to Opposite Kent Ridge secondary school bus stop.",0,-3,0,0,1,0
Clementi,Clementi North,food,15,4.333,2,0,0,4,3,0,1,0,0,0,2,1,"Ordered the fried ramen. Nothing inside except a badly fried egg on top. Totally not worth the price. Portion is miserable. I could have eaten Maggi Mee at home and it would have t... || Had a great experience at Nene Chicken. The staff were friendly, attentive, and served us with a smile. The food was fresh, delicious, and arrived promptly. The restaurant was clea... || the food is really really good the fried chicken tenders r so juicy and the service is super good too",2,-4,3,1,0,1
Clementi,Clementi North,shopping,20,4.25,0,0,0,1,0,0,0,0,10,0,2,0,Fantastic supermarket located within walking distance of the NUS University Town featuring a terrific selection of products as well as remarkably reasonable prices. There is a grea... || We would like to compliment the staff service especially Aw Jian Chong (fish counter) for his excellent service and patience adhering to our requests. || We always enjoy shop there their staff is so friendly n food is fresh. Whatever we need they will have.Cheers,0,-1,0,0,10,2
