planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Sungei Kadut,Gali Batu,education,10,4.3,4,1,1,0,1,0,1,0,4,0,0,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...",3,1,1,1,4,0
Sungei Kadut,Gali Batu,transport,10,4.1,2,0,1,3,5,0,0,0,5,0,0,0,"Buona Vista MRT Station is one of the most convenient and well-designed stations in Singapore. It serves as an interchange for the East-West Line (EWL) and the Circle Line (CCL), m... || Buona Vista MRT Station is a very clean and convenient interchange between the East–West Line and Circle Line. Transfers are easy, and the station has clear signs, lifts, and good ... || Great station - close to the Star Vista Mall where you can find food, drinks, Cold Storage. It serves Green & Yellow lines although it can be confusing to navigate from one to the ...",2,-2,5,0,5,0
Sungei Kadut,Gali Batu,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Sungei Kadut,Gali Batu,shopping,10,4.8,0,0,0,3,0,0,0,0,6,0,6,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,-3,0,0,6,5
Sungei Kadut,Gali Batu,recreation,10,4.0,2,0,1,0,3,0,0,0,2,0,0,0,"Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of ... || On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refin... || Nice and clear place and the foods are damn good 👍",2,1,3,0,2,0
Sungei Kadut,Gali Batu,nature,10,4.9,10,0,2,3,1,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",10,-1,1,0,0,0
Sungei Kadut,Kranji,education,10,4.3,4,1,1,0,1,0,1,0,4,0,0,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...",3,1,1,1,4,0
Sungei Kadut,Kranji,transport,10,4.2,1,0,3,3,4,0,1,0,6,0,0,0,Kranji MRT station is a convenient and well-maintained transit point that serves commuters traveling between northern Singapore and the rest of Singapore. The station is especially... || I was lost at Kranji mrt stn. Assistant Station Manager Syahirah assisted me with finding my direction. She showed an exemplary customer service attitude. SMRT is lucky to have her... || On 6 November 2025 I spotted nice sunrise kranji mrt kranji area good place Sunrise,1,0,4,1,6,0
Sungei Kadut,Kranji,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Sungei Kadut,Kranji,shopping,10,4.7,0,0,0,1,2,0,0,1,7,0,0,1,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-1,2,-1,7,-1
