planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJneIMG6g8RmcRC6UDMg7es-o,Bright Learners Preschool,"217 E Coast Rd, #03-01/02/03, Singapore 428915",4.6,9,"[""establishment"", ""point_of_interest"", ""school""]",1.3075235,103.9069598,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJf8YecygZ2jERhBHRzXbvvA4,Hess Preschool Katong,"30 E Coast Rd, #03-06 Katong V, Singapore 428751",5.0,13,"[""establishment"", ""point_of_interest"", ""school""]",1.3037749,103.902914,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJeTQ0a3QY2jERz7wVigJjpLk,New Life Preschool @ Marine Drive,"66 Marine Dr, Singapore 440066",4.8,20,"[""establishment"", ""point_of_interest"", ""school""]",1.3039081,103.9097784,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJXSuxCAAZ2jERuZYmI9NUQyo,Book Dispenser @ Marine Parade,"6 Marine Parade Central, Singapore 449411",5.0,2,"[""establishment"", ""library"", ""point_of_interest""]",1.3013854,103.9072395,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJbfgZgHEY2jERmKwyjeXy98k,Kinderland Preschool @ Marine Parade,"87 Marine Parade Central, #03-203, Singapore 440087",4.3,54,"[""establishment"", ""point_of_interest"", ""school""]",1.3024579,103.9055237,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJ9Rs9Te8Z2jERl6yudFUGMJY,"United World Preschool (UWP) - East Coast, Katong","112 E Coast Rd, #03-01/02/03/04/28 i12 Katong, Singapore 428802",4.5,43,"[""establishment"", ""point_of_interest"", ""school""]",1.3052002,103.9050645,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJvfKuq_AZ2jERN-vgQsDU224,KiddiWinkie Schoolhouse @ East Coast,"511 E Coast Rd, Singapore 429064",4.5,51,"[""establishment"", ""point_of_interest"", ""school""]",1.3098305,103.9139459,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJc0Or8HUY2jER6Y4YhNEhSzc,My First Skool at Blk 18 Marine Terrace,"Blk 18 #01-108, Marine Ter, Singapore 440018",4.5,8,"[""establishment"", ""point_of_interest"", ""school""]",1.303337,103.914032,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJncJZMxUY2jERTREVpboYaOQ,Zee Schoolhouse,"23 Wareham Rd, Singapore 436788",4.1,17,"[""establishment"", ""point_of_interest"", ""school""]",1.3076374,103.8929971,True
Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",ChIJAQAA0EMY2jERCzlGLaihAgs,Odyssey The Global Preschool – Wilkinson,"101 Wilkinson Rd, Singapore 436559",4.8,107,"[""establishment"", ""point_of_interest"", ""school""]",1.3018973,103.8877113,True
