planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Serangoon,Lorong Chuan,education,10,4.2,0,0,0,1,0,0,0,0,0,0,0,0,"Hi Team, Greeting! Today session was very helpful in improving my understanding of marketing and the tools used to promote it effectively. It was my first time learning how to use ... || Thank you for the programme. I found it highly insightful and gained valuable knowledge in marketing strategies. The curriculum was engaging and well-structured, with meaningful sh... || Two major sessions were conducted — Marketing and Curriculum. In the Marketing session, I learned various marketing strategies through Facebook and Instagram. I also gained experie...",0,-1,0,0,0,0
Serangoon,Lorong Chuan,transport,10,3.8,0,0,1,2,2,0,1,0,4,0,0,0,Please check the photos carefully. It might be helpful. The authority is updating the MRT lines. We need to concern about the route and movement. || Whose bright idea was it to have one-direction escalators that stay empty while the foot traffic is clearly flowing the other way? The efficiency is non-existent. || Serangoon mrt Nex shopping Mall Near Serangoon Bus Interchange Rating 4.6 Tonight Sylvia Ang Known as Ang Lay Kheng went Serangoon MRT To purple line going towards Boon Kheng MRT I...,0,-1,2,1,4,0
Serangoon,Lorong Chuan,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Serangoon,Lorong Chuan,shopping,10,4.2,0,0,0,3,3,0,0,1,7,0,0,0,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-3,3,-1,7,0
Serangoon,Lorong Chuan,recreation,10,4.1,0,0,0,2,2,0,0,1,4,0,0,0,"Easily accessible by public transport. Toilets, tracks and seating areas are clean! I train there often for my intervals. It may be quite crowded on the tracks in the evenings. Mor... || Serangoon Sport Centre, formerly known as Serangoon Sport and Recreation Centre, operates in a mature estate, serving the basic needs of the community. || Running track was in good condition, but the toilets are pretty dated. Plenty of parking spaces. A suitable place to do track running in the heartlands",0,-2,2,-1,4,0
Serangoon,Lorong Chuan,nature,10,4.7,10,0,1,5,1,0,0,0,1,0,0,0,"Quiet, underrated gem in the northeast. Punggol Park has a really chill vibe, especially around the big lake in the middle. Great for evening walks, light jogs, or just sitting dow... || If u are in Hougang / Sengkang area, and wanted a park to stroll or exercise. Try this Punggol Park. Pls note that although it called Punggol Park, it’s actually in end of upper Se... || Actually, It's a Nice and quiet park with a running loop around a pond.The park with a lot of place to rest chair benches. It's shady with huge trees and bird chirping. The place i...",10,-4,1,0,1,0
Serangoon,Seletar Hills,education,10,4.0,3,1,2,1,2,0,1,0,2,0,0,0,"This is very great neighbourhood library with librarians who are very observant and go the extra mile. Especially I thank Ms Fazilah 9 Nov 2025 at 7.30pm. She goes the extra mile f... || We recently took our little one to Sengkang Public Library, which is conveniently located right inside Compass One. It made for a really easy family outing, as we could grab a quic... || What I like in libraries: Books that are available that I originally have on my online To-Be-Read (TBR). Spacious environments. Multiple book genres. The first thing I noticed that...",2,1,2,1,2,0
Serangoon,Seletar Hills,transport,10,4.0,0,1,0,0,3,0,1,0,5,0,0,0,"Extremely NOISY construction works of the depot extension!!! They work 24/7 every day, including weekends. Despite numerous feedback, they still carry on throughout the nights that... || there is a nice view point during sunset at the hill beside the sbs depot || Modern large bus depot for maintenance of SBS Transit trains. Reachable by two LRT stations Tongkang and Rebjong. Plenty of fasciitis including canteen and groceries. Conveniently ...",-1,0,3,1,5,0
Serangoon,Seletar Hills,food,10,3.9,0,0,0,1,0,0,0,0,0,0,0,2,"⭐⭐⭐⭐⭐ 5-Star Review for Wildseed @ The Summerhouse Wah, come to Wildseed Cafe at The Summerhouse and kena first-class service sia! Staff got eagle eyes one — see us trying to 自拍 (t... || Lovely staff who were friendly and patient even on a hot afternoon. The first pizza came slightly burnt but the staff offered to redo it which we were very thankful for. Wings were... || The food was quite standard, nothing particularly special or memorable. Considering the price, I personally don’t think it offers great value. The environment and dining experience...",0,-1,0,0,0,-2
Serangoon,Seletar Hills,shopping,10,3.6,0,0,0,4,1,0,0,0,4,0,0,0,"Dear Management Team, I am writing to share a truly exceptional experience I recently had at your store. While shopping for meat at GIANT Food, I was warmly welcomed by an outstand... || Worst hypermarket experience. Only three checkout counters were open on a Saturday night, which naturally led to long queues. We waited about 40 minutes just to check out. If the s... || This is one of the best mega warehouses in Singapore to shop on the East side as it carries many brands of food, household n electrical items . The layout is good where one can sho...",0,-4,1,0,4,0
