planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
River Valley,Institution Hill,education,60,4.417,5,1,4,1,5,0,0,1,4,0,4,0,"My daughter has had the amazing years at RV Superland since N2! The teachers are so caring and attentive, making learning fun and engaging. We’ve seen her grow in confidence, curio... || Our child has been enjoying life at Superland RV since 9 months of age 😊. Now, as he approaches his final year in Kindergarten 2 (omg—time really flies!), he has thoroughly enjoyed... || Our little one has been at Superland River Valley as early as 4 months old and we have been delighted by the care, love and teaching received since then. Furthermore, having French...",4,3,5,-1,4,4
River Valley,Institution Hill,transport,22,4.182,1,0,1,2,5,0,0,0,3,0,0,0,"This MRT station boasts an impressive network of underground walkways, providing convenient access throughout the River Valley area, including Great World City. The station's moder... || Very spacious and clean station. Take Exit 2 or 6 to Great World City mall. || New MRT station. Located in Great World City. Got a few gates — 6 gates. Some of them still under construction, some open already la. Then how to go in and go out. Normal MRT stati...",1,-1,5,0,3,0
River Valley,Institution Hill,food,46,4.565,2,0,0,3,1,0,1,1,0,0,1,2,"Bought 红油抄手 from a beef noodle shop. OMG, every dumpling is so big and the sauce is so savoury with black vinegar. Best I have ever eaten! || This is one of the best hawker centre in Singapore. Has the highest ratio of best rated food here. Its clean airy and toilet are extremely clean too. The most famous food here is t... || Great little Hawker by Singapore River. Chicken was good, bowl of miso tasty and Char Siu Pork also very good. The Bok Choi in light soy excellent. Recommend Bandung drink. If it r...",2,-3,1,0,0,-1
River Valley,Institution Hill,shopping,38,4.132,2,1,3,3,7,0,1,1,2,0,3,2,"A calm, low-key River Valley neighbourhood mall — more for groceries, cafés, fitness & everyday convenience than serious shopping. || Remember when the mall was a pet-friendly haven? We could bring our furry friends along and enjoy our breakfast / coffee together. But sadly, that’s not the case anymore, “No Pets ... || A smaller and older shopping centre in the River Valley area. It houses 1 supermarket (Fairprice) and 1 specialty shop cum restaurant (Little Farms), a few more eateries, a gym, a ...",1,0,7,0,2,1
River Valley,Institution Hill,recreation,50,4.54,4,0,1,7,11,1,1,0,4,0,0,1,"A brand new SRT studio that is absolute vibes! Everything feels thoughtfully designed - clean, aesthetic, and super welcoming. Major plus points for the shower facilities and havin... || First time attending Reformer Pilates Sculpt 50 class at XYCO’s new Pilates studio after all that I’ve heard about their close knit community and energetic spinning classes. Attend... || Beautiful and cosy Pilates studio located conveniently in the city centre. Amazing vibes and community 💯 Attended Brandon’s class and for a first timer doing Pilates, it was a grea...",4,-6,10,1,4,-1
River Valley,Institution Hill,nature,48,4.375,25,0,4,4,6,0,1,0,9,0,0,1,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || We had a great time at Fort Canning Park, especially at the children's playground area. The kids really enjoyed the swings and slides, and the playground was well designed for youn...",25,0,6,1,9,-1
River Valley,Leonie Hill,education,40,4.4,1,2,1,0,3,0,2,0,4,0,0,0,"Our child has absolutely blossomed at Little Village. Their teachers are gentle and wonderful, the school is gorgeous with plenty of outdoor space and a curriculum that is focussed... || my kid loves going to school, that tells a lot: great environment, great staff and the teachers are very attentive. The 3 big outdoor playgrounds are what theyl toddlersneed for th... || Both my kids go to Little Village and we absolutely love it. It makes school such a happy place - they learn so much through play and they are always happy going to school! 1) Chil...",-1,1,3,2,4,0
River Valley,Leonie Hill,transport,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
River Valley,Leonie Hill,food,25,4.36,0,0,1,1,4,1,0,0,3,0,3,3,"it was my favourite place to come to for the curry rice n bak chor mee. the bak chor mee remains on point but the beach road curry rice is disappointing. the meat is pathetically t... || A small yet cozy food court at ION Orchard. It has stalls such as King Fried Rice, Chef Wei Cheong Fun, Pang Hakka Yong Tau Fu, Beach rd Cury rice & Eunos Bak Chor mee. I've tried ... || Review of Hawkers’ Street @ ION Orchard Hawkers’ Street was added about five years after ION Orchard first opened, and its inclusion fits perfectly with the mall’s premium yet acce...",0,0,3,0,3,0
River Valley,Leonie Hill,shopping,17,3.765,0,0,0,2,0,0,0,0,1,0,0,0,"A decently-stoked neighbourhood FairPrice but please be extra cautious and check fresh produce before purchasing. We have bought rotten and mouldy pre-packed fruit twice (separate ... || Staff are always friendly and patient. Always willing to help. Recently, focus is on using the self check out stations which needs some getting used to.... especially with discount... || Why you nvr check age of ppl buying alcohol drinks?? You sold alcohol to my kid!! Didn't get receipt cannot exchange. Staff are polite but they're bots. Always ask if you need a ba...",0,-2,0,0,1,0
