planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Hougang,Defu Industrial Park,education,10,5.0,0,0,0,0,2,0,2,0,0,0,0,0,"My daughter attended Tr Xiao’s P6 Science class. Mr Xiao drilled the use of keywords and conceptual understanding across various science topics in a few months. Her results soared ... || My son joined Edify’s teacher Ko weekly science lessons for P6 (2025) and attained AL2 for his PSLE. Teacher Ko is an excellent teacher who teaches science concepts very well and h... || It was a rainy day, and the traffic lights on the opposite side were not working. We called the admin, and they were very kind and helped bring my kids safely to their tuition cent...",0,0,2,2,0,0
Hougang,Defu Industrial Park,transport,10,4.1,1,0,0,0,3,0,0,0,4,0,1,0,"It's an MRT station that works for the surrounding neighborhood. It's clean, well structured, and connected to Heartland Mall. Is it any unique, no. Does it work as a public transp... || Connected to the North East Line. Heartland Mall is located beside the MRT Station. The Kovan Market and Food Centre is also within walking distance from the Mrt Station. Nice loca... || One of the stations along the North East (purple) line which connects to a shopping centre (Heartland Mall) and Hawker Centre. There’s enough ancillary services within the basement...",1,0,3,0,4,1
Hougang,Defu Industrial Park,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Hougang,Defu Industrial Park,shopping,10,4.3,0,0,0,2,1,0,0,0,6,0,0,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,-2,1,0,6,-1
Hougang,Defu Industrial Park,recreation,10,4.1,0,0,0,0,0,0,0,0,1,0,0,0,The swimming complex was really great. But there's only one problem... They don't allow swimsuits with zippers when going to the slides || definitely will come again to enjoy the facility here! sheltered and water playgrounds available to play around. || The toilet cleaner aunty is super rude. Not first time encounter this problem. As level 2 under renovation. Lot of ppl rush to toilet near mcd at level 1. The aunty just mop their ...,0,0,0,0,1,0
Hougang,Defu Industrial Park,nature,10,4.9,10,0,2,3,1,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",10,-1,1,0,0,0
Hougang,Hougang Central,education,10,4.6,0,3,0,0,0,0,2,0,0,0,0,1,"Just one month into Artylearning, and we are already seeing encouraging progress. The recommended bridging classes have been very helpful in supporting a child who was initially co... || Dear Arty Learning School Team, ​We are writing to express our sincere gratitude and to highly commend Teacher Evf for her exceptional dedication and impact on our son. ​He is lear... || My daughter Hazel started her journey with Arty at the age of 4 year old. She enjoyed every lesson. We like that they incorporate fun play sessions to have the kids engage in the l...",-3,0,0,2,0,-1
Hougang,Hougang Central,transport,10,3.2,1,0,0,0,2,0,0,0,1,0,1,0,"Pretty old compared to other bus interchange. But has decent food options. Bread shop, indian cuisine and snacks. || A Malay male bus driver driving 107M to Hougang Interchange on 18/12/2025 (probably reach interchange at 11:20+pm) was very rude! I may or may not have forgotten to tap my card whe... || Their bus timings aren't accurate, much to people's inconvenience. Seems like Bus 329 departed by 7.16am, even though it was scheduled to come at 7.18am. Now I have to walk to the ...",1,0,2,0,1,1
Hougang,Hougang Central,food,10,4.7,2,0,0,5,0,0,0,0,0,0,1,0,"Food was absolutely Nom Nom! This is the 2nd time I’ve been to Lola’s (1st was around 3 years ago), and I’m glad to say that the quality and service is still top notch! The hojicha... || We had heard that Lola serves pretty good food, and we've passed by several times, always seeing the place packed. This time, we visited at around 1.45pm on a weekday, but it was s... || Had a truly delightful dining experience at Lola’s Restaurant @ Simon Road ❤️ From the moment we stepped in, the warm ambience and cozy atmosphere made it such a relaxing place for...",2,-5,0,0,0,1
Hougang,Hougang Central,shopping,10,3.6,0,0,0,4,1,0,0,0,4,0,0,0,"Dear Management Team, I am writing to share a truly exceptional experience I recently had at your store. While shopping for meat at GIANT Food, I was warmly welcomed by an outstand... || Worst hypermarket experience. Only three checkout counters were open on a Saturday night, which naturally led to long queues. We waited about 40 minutes just to check out. If the s... || This is one of the best mega warehouses in Singapore to shop on the East side as it carries many brands of food, household n electrical items . The layout is good where one can sho...",0,-4,1,0,4,0
