planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Marina East,Marina East,nature,parks gardens nature waterfront park connectors,ChIJ42oYzrMZ2jERBvQPkuvE8DA,Gardens by the Bay East (Panoramic view),4.8,275,0,Sam VanHeukelom,https://www.google.com/maps/contrib/111153941930890288808/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXyWptRNozVnf-cezmY8AMGd5ALL2oXY9QdtVTRDzkty309SMfIpg=s128-c0x00000000-cc-rp-mo-ba8,5,6 months ago,1766855774,"Great spot to go for a run, walk, bike tour. Quiet and away from the busy center. Beautiful skyline views BTW.
ATTENTION: i recommend to go in the morning, best chance for a shadow walk 😉"
Marina East,Marina East,nature,parks gardens nature waterfront park connectors,ChIJ42oYzrMZ2jERBvQPkuvE8DA,Gardens by the Bay East (Panoramic view),4.8,275,1,Joon Wei Teow,https://www.google.com/maps/contrib/113599127402573817897/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJySXCfcFr2CQL-Q6gan-JEFzG8J-L40AO6mTDvWHJsvCPmT-eg=s128-c0x00000000-cc-rp-mo-ba6,5,7 months ago,1764330876,"Gardens by the Bay East is one of the best scenic spots in Singapore. The panoramic view is amazing — perfect for photos with the Singapore Flyer, Marina Bay Sands, and the city skyline. It’s peaceful, spacious, and great for a relaxing walk or cycling. A must-visit if you enjoy beautiful views and quiet corners in the city!"
Marina East,Marina East,nature,parks gardens nature waterfront park connectors,ChIJ42oYzrMZ2jERBvQPkuvE8DA,Gardens by the Bay East (Panoramic view),4.8,275,2,Devie Nur Ghaniya,https://www.google.com/maps/contrib/108957726414252223608/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXzpYGgroMmDFIafQffyElZ_xvXcO_bstA4zGcI-L7ggQRwA2Gx=s128-c0x00000000-cc-rp-mo-ba4,5,5 months ago,1769966096,Went here in the afternoon for a sunset bike ride and the view was stunning! You get the perfect panoramic skyline of Marina Bay while enjoying a more quiet and relaxed vibe compared to the main Gardens. Such a beautiful spot to catch the sunset and unwind.
Marina East,Marina East,nature,parks gardens nature waterfront park connectors,ChIJ42oYzrMZ2jERBvQPkuvE8DA,Gardens by the Bay East (Panoramic view),4.8,275,3,Samba Kivioja,https://www.google.com/maps/contrib/113754445210064059865/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWhfnjwI1rlHhl9Sz9pr9dMvbqSOYWovR-toyCDPD68fMNg8ROf=s128-c0x00000000-cc-rp-mo-ba5,5,3 months ago,1775884636,Highly recommend visiting! You’ll get incredible photos here with a full panoramic view of Singapore’s skyline.
Marina East,Marina East,nature,parks gardens nature waterfront park connectors,ChIJ42oYzrMZ2jERBvQPkuvE8DA,Gardens by the Bay East (Panoramic view),4.8,275,4,Eric Ho,https://www.google.com/maps/contrib/105956828587062709595/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWZdDlhhdz1ElPGvqOs2atUH-Ba7FT92GWe-Z6nIZoViHywTYDc6g=s128-c0x00000000-cc-rp-mo-ba7,5,2 months ago,1778836667,"Bay East Garden offers a quieter, more tranquil side of Singapore’s waterfront beauty, unfolding beside the shimmering Marina Reservoir with sweeping views of the city skyline. Wide open lawns, scenic cycling paths, and breezy waterfront promenades create a peaceful escape from the urban rush. Unlike the dramatic spectacle of the Supertrees across the bay, Bay East Garden charms through simplicity, space, and calm natural elegance. At sunrise and sunset, the skyline glows across the water, transforming the landscape into a serene canvas of light and reflection. It is a place where nature, fresh air, and Singapore’s futuristic skyline exist in perfect harmony."
Marina East,Marina East,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,0,Madiha,https://www.google.com/maps/contrib/114242387135977753283/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHCPM5GgKJCH7JgvWv5_MxW13ltPSTlow5LjKKBTnXZqmj6g=s128-c0x00000000-cc-rp-mo-ba5,3,a month ago,1779948931,"Decent spot for variety, but not for those craving familiar Pakistani flavours
Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with plenty of options and a nice atmosphere, especially in the evening when the streets are closed off for dining.
We tried the halal stall and ordered chicken rice noodles, chicken basil vegetables, and tea tree something. While the portions were generous and the service was quick, the overall taste was quite different from what we expected. Everything had a strong seafood-like flavour profile (even the non-seafood items), which didn’t really appeal to us as I can’t stand sea food smell. It felt quite far from Pakistani taste preferences – the spices, seasoning, and balance were very different.
If you’re in the mood to explore local Singaporean or Southeast Asian hawker food and try new things, Lau Pa Sat is a great place with lots of variety. However, if you’re particular about your food and want something closer to Pakistani cuisine, this might not be the best choice.
Cleanliness was just fine for a busy hawker centre, and the pricing was reasonable. Good for tourists or casual explorers, but we probably won’t rush back."
Marina East,Marina East,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,1,Franco Migliorati,https://www.google.com/maps/contrib/100371330244756270290/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVkZnEeD-A71-8sTYTmOmEFkth5fm4r4G3NJjaT8fP8fl_T-hUoqw=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772028535,"fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singaporean, etc. There's something for everyone. Good ventilation and plenty of tables but the place is always packed and noisy (it doesn't take away the enjoyment). A must to visit."
Marina East,Marina East,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,2,Piotr Treter,https://www.google.com/maps/contrib/100672490460451924508/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJkJ1CdwVAoUWZNkGU0R51jueMxWq-vHoYNtIjkipXTuJWEGQ=s128-c0x00000000-cc-rp-mo-ba5,5,5 months ago,1770210422,"There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everything is perfectly seasoned, with plenty to choose from, so everyone should easily find something to their liking. And the prices are very affordable by Singaporean standards."
Marina East,Marina East,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,3,Trang Nguyen,https://www.google.com/maps/contrib/111561150280467194373/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHfsPshQW972d4yzKstFPDDgwG_sd38rfo75jAycL5Vg_tpOk=s128-c0x00000000-cc-rp-mo-ba4,5,3 months ago,1774788514,"Lau Pa Sat: A must-visit for the lively night vibe!

I visited at 9 PM on a Friday, and it was absolutely crowded! The energy outside on Satay Street was incredible, with everyone enjoying grilled food in the open air. Inside the historic building, there are plenty of food stalls to choose from.

The Drinks:
One thing to watch out for is that there are very few drink stalls, so the lines are very long. I bought an Iced Mango Peach ($2.80), but I wouldn't recommend it. It was extremely sweet and didn't contain any fresh fruit—it tasted mostly like syrup. I suggest skipping the ""juices"" here if you want something fresh.

The Food & Service:
I tried the Thunder Tea Rice ($6.20). It was okay, though it didn't quite fit my personal taste. After eating, the service is efficient; you can either clear your own tray or wait for the staff who come by frequently to collect them.

The Verdict:
It is very crowded and noisy with loud music, but it’s a ""must-visit"" to experience the local Singaporean vibe. Just be prepared for the crowds!"
Marina East,Marina East,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,4,herdarksecret,https://www.google.com/maps/contrib/103152694342316321576/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocL8Ep70MYF7RNmwysbNL0OHYX1-zaj0q1g6xVF2FEIRfrvVYg=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,1777028043,"Tried Na Na Curry at Lau Pa Sat because saw that they are awarded Michelin Bib Gourmand 10 years in a row!

Their chicken curry is rich, slightly creamy, and super comforting. The spices are well-balanced, not too heavy but still very satisfying.

The chicken is tender and soaks up the curry nicely, making every bite flavourful. Pairs really well with both the rice and roti prata!"
