planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Tampines,Tampines East,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,0,Juffrey,https://www.google.com/maps/contrib/106747231694663034308/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUoloh0cvx4SWg7EwAmFl2hLAKNxzDTdu2dMXZN7PZWJYBnNFYe6A=s128-c0x00000000-cc-rp-mo-ba5,5,8 months ago,1761474606,Beautiful park in the middle of housing estate in Sengkang. Opened area with plenty of space for outdoor activities and picnics. There is a Tenderbest restaurant nearby. Clean and less crowded.
Tampines,Tampines East,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,1,Aida Muggle,https://www.google.com/maps/contrib/115696727446423986644/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXnhZN9Xm6VUau4aKHhxNH4yajZMtGH-Wy7abgPz--HhmZ7cdY=s128-c0x00000000-cc-rp-mo-ba3,5,2 months ago,1777892268,"Love this park. Scenic. Bridges. Ponds. Chickens. Parrots. After a jog/walk, hop in to Tenderbest for a cuppa. Bliss."
Tampines,Tampines East,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,2,Lin Hazis,https://www.google.com/maps/contrib/104955152638556208061/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocImd3HJiOgaB0Ezi9wOPCeUyoZ6ja_Vp2OWn926ulo3ksEW1RYX=s128-c0x00000000-cc-rp-mo-ba3,4,9 months ago,1760052806,"Big open space. Terrapins roam free (don't feel, I guess and be careful of where you step). Also monitor lizards. Peaceful, air is so clean and fresh. Love the views and the vibes. Went in the evening so wasn't tortured by the sun."
Tampines,Tampines East,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,3,Dave Dressler,https://www.google.com/maps/contrib/109067292044248383113/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUvv5tdH_22R-VlL_moKuNU6Vk91VHJmHM_0dGTW2pTp5dy97-EeQ=s128-c0x00000000-cc-rp-mo-ba4,5,4 months ago,1772604976,Very nice relaxing walk not crowded. Prayed for bikes if you got them or you can rent them.
Tampines,Tampines East,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,4,Gokulakannan Santhanam,https://www.google.com/maps/contrib/105742357205659118253/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjV2MI1ynmVo1ejlQLbxsLqkkHQun-t-bGFzcVbR_0M3HUAy0T6-Bg=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,1777779245,"it’s a great place for jogging. The paths are clean, well-maintained, and surrounded by lots of greenery"
Tampines,Tampines West,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,0,Juffrey,https://www.google.com/maps/contrib/106747231694663034308/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUoloh0cvx4SWg7EwAmFl2hLAKNxzDTdu2dMXZN7PZWJYBnNFYe6A=s128-c0x00000000-cc-rp-mo-ba5,5,8 months ago,1761474606,Beautiful park in the middle of housing estate in Sengkang. Opened area with plenty of space for outdoor activities and picnics. There is a Tenderbest restaurant nearby. Clean and less crowded.
Tampines,Tampines West,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,1,Aida Muggle,https://www.google.com/maps/contrib/115696727446423986644/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXnhZN9Xm6VUau4aKHhxNH4yajZMtGH-Wy7abgPz--HhmZ7cdY=s128-c0x00000000-cc-rp-mo-ba3,5,2 months ago,1777892268,"Love this park. Scenic. Bridges. Ponds. Chickens. Parrots. After a jog/walk, hop in to Tenderbest for a cuppa. Bliss."
Tampines,Tampines West,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,2,Lin Hazis,https://www.google.com/maps/contrib/104955152638556208061/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocImd3HJiOgaB0Ezi9wOPCeUyoZ6ja_Vp2OWn926ulo3ksEW1RYX=s128-c0x00000000-cc-rp-mo-ba3,4,9 months ago,1760052806,"Big open space. Terrapins roam free (don't feel, I guess and be careful of where you step). Also monitor lizards. Peaceful, air is so clean and fresh. Love the views and the vibes. Went in the evening so wasn't tortured by the sun."
Tampines,Tampines West,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,3,Dave Dressler,https://www.google.com/maps/contrib/109067292044248383113/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUvv5tdH_22R-VlL_moKuNU6Vk91VHJmHM_0dGTW2pTp5dy97-EeQ=s128-c0x00000000-cc-rp-mo-ba4,5,4 months ago,1772604976,Very nice relaxing walk not crowded. Prayed for bikes if you got them or you can rent them.
Tampines,Tampines West,nature,parks gardens nature waterfront park connectors,ChIJ0ZnzsXUW2jER9IrUeleR7To,Sengkang Riverside Park,4.4,2243,4,Gokulakannan Santhanam,https://www.google.com/maps/contrib/105742357205659118253/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjV2MI1ynmVo1ejlQLbxsLqkkHQun-t-bGFzcVbR_0M3HUAy0T6-Bg=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,1777779245,"it’s a great place for jogging. The paths are clean, well-maintained, and surrounded by lots of greenery"
Tampines,Simei,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,0,Spence,https://www.google.com/maps/contrib/109537908143287059616/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI56oKmQS0jFkT8arQV0KVTMfO8K8yd8Y4xCvn3Ft2ShssNuQ=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772128364,Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok.
Tampines,Simei,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,1,Kavitha,https://www.google.com/maps/contrib/110358363802981682934/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXHS2zBLbAgoj7Po1SthrL_nUlr2KRfZMKKqFjodKm4lISxPjIK3A=s128-c0x00000000-cc-rp-mo-ba6,4,2 weeks ago,1782785924,"A nice beautiful place ... There is a library... Foods ... Places to sit n relax ...
Movie screen to watch movies... 😉
Bedok polyclinic...there is a library inside bedok hub...there is a foodplace to eat, swimming complex..."
Tampines,Simei,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,2,Will C,https://www.google.com/maps/contrib/108770861412310662498/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUqv50lVVygW78t0XYwwfPaQogn6V8HTok_jSxbWHWumA_SElXiUA=s128-c0x00000000-cc-rp-mo-ba4,5,8 months ago,1762125893,"This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for warm weather days. The Olympic pool has a shelter. There is an activesg gym on the 6th floor that overlooks the pool if you want to work out (separate entrance fee of 2.50 sgd). However, the gym are strict with footwear and need to bring your own towel."
Tampines,Simei,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,3,Arc Chua,https://www.google.com/maps/contrib/113018417947997443979/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUbpN9RxBVo_Edgzjcjm6N_FFVqJ5Dg8JE4FQsukz5S7IcZOHZA=s128-c0x00000000-cc-rp-mo-ba4,5,6 months ago,1767530760,"So many activities here. U got library, gym, multi purpose hall, swimming pool, classes for booking. Amazing place"
Tampines,Simei,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,4,Nadeesha Athukorala,https://www.google.com/maps/contrib/100906096244558577191/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXktMKwN18Rreba4SQkX3Aa6bhwXi35k953qVVG8NnKUfwY9W8=s128-c0x00000000-cc-rp-mo-ba6,5,11 months ago,1753841793,"Actually, It's a great location, close to the MRT and shops around. They Have  shopping stores and eateries as well.

It's a Fantastic place for kids to learn swimming at Level 5.They Have Indoor pools too in case it rains, So confirm wont miss the lessons.

Love the design of the place, very lively and green! Has a lot of activities happening as well related to community activities...🏊🤽🩱🌿🍃"
Tampines,Tampines East,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,0,Spence,https://www.google.com/maps/contrib/109537908143287059616/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI56oKmQS0jFkT8arQV0KVTMfO8K8yd8Y4xCvn3Ft2ShssNuQ=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772128364,Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok.
Tampines,Tampines East,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,1,Kavitha,https://www.google.com/maps/contrib/110358363802981682934/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXHS2zBLbAgoj7Po1SthrL_nUlr2KRfZMKKqFjodKm4lISxPjIK3A=s128-c0x00000000-cc-rp-mo-ba6,4,2 weeks ago,1782785924,"A nice beautiful place ... There is a library... Foods ... Places to sit n relax ...
Movie screen to watch movies... 😉
Bedok polyclinic...there is a library inside bedok hub...there is a foodplace to eat, swimming complex..."
Tampines,Tampines East,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,2,Will C,https://www.google.com/maps/contrib/108770861412310662498/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUqv50lVVygW78t0XYwwfPaQogn6V8HTok_jSxbWHWumA_SElXiUA=s128-c0x00000000-cc-rp-mo-ba4,5,8 months ago,1762125893,"This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for warm weather days. The Olympic pool has a shelter. There is an activesg gym on the 6th floor that overlooks the pool if you want to work out (separate entrance fee of 2.50 sgd). However, the gym are strict with footwear and need to bring your own towel."
Tampines,Tampines East,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,3,Arc Chua,https://www.google.com/maps/contrib/113018417947997443979/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUbpN9RxBVo_Edgzjcjm6N_FFVqJ5Dg8JE4FQsukz5S7IcZOHZA=s128-c0x00000000-cc-rp-mo-ba4,5,6 months ago,1767530760,"So many activities here. U got library, gym, multi purpose hall, swimming pool, classes for booking. Amazing place"
Tampines,Tampines East,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,4,Nadeesha Athukorala,https://www.google.com/maps/contrib/100906096244558577191/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXktMKwN18Rreba4SQkX3Aa6bhwXi35k953qVVG8NnKUfwY9W8=s128-c0x00000000-cc-rp-mo-ba6,5,11 months ago,1753841793,"Actually, It's a great location, close to the MRT and shops around. They Have  shopping stores and eateries as well.

It's a Fantastic place for kids to learn swimming at Level 5.They Have Indoor pools too in case it rains, So confirm wont miss the lessons.

Love the design of the place, very lively and green! Has a lot of activities happening as well related to community activities...🏊🤽🩱🌿🍃"
Tampines,Xilin,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,0,Spence,https://www.google.com/maps/contrib/109537908143287059616/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI56oKmQS0jFkT8arQV0KVTMfO8K8yd8Y4xCvn3Ft2ShssNuQ=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772128364,Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok.
