planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Mandai,Mandai East,education,10,4.6,1,0,0,4,5,0,0,0,1,1,1,1,"Visited this relatively new indoor playground at Mandai on Sunday with my 5-year-old, and here’s some takeaways for fellow parents. Firstly, be prepared for crowds. It was very pac... || came on a weekday to make use of the unlimited playtime and so that it wont be so crowded! the place is beautifully decorated with animals and nature, love the immersive/interactiv... || One of the largest indoor playground in Singapore. Perhaps because its new netball the equipment is clean and functioning and very well maintained. There is also ample staff in blu...",1,-4,5,0,0,0
Mandai,Mandai East,transport,10,4.5,0,0,0,2,0,0,0,0,1,0,0,0,"Depot for Thomson east coast line MRT, bus depot for future planning and a place of work for others. Time flys for some people here, coming and leave with the flow. But memories ma... || A lastly-open MRT Depot under SMRT. A wide area is occupied together with the Tower Transit Bus Depot. || Why sat Sunday no food, other days why closed 2pm",0,-2,0,0,1,0
Mandai,Mandai East,food,10,4.4,0,0,0,3,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-3,3,0,0,0
Mandai,Mandai East,shopping,10,4.7,0,0,1,1,0,0,0,0,5,0,0,0,"We visited IMM Building, Singapore’s largest outlet mall, and had a good shopping experience. This place really lives up to what many reviewers say — it has all varieties from high... || Singapore's only outlet mall with all major brands under one roof. You will get good deals from top brands here. Don't forget to plan to visit here when you travel to Singapore. Mu... || IMM Mall is a great spot for shopping, especially if you’re looking for outlet deals. It has a wide range of stores, including brands like Coach, Michael Kors, Kate Spade, Charles ...",0,0,0,0,5,0
Mandai,Mandai East,recreation,10,4.5,0,0,1,1,1,0,1,0,0,1,0,0,"Awesome place with many facilities and some F&B establishments. Adventure HQ is fantastic for kids and adults alike, with a huge play area with many obstacles and slides, as well a... || I was attended by a Fitnessworkz staff (Syarf, if I did not spell his name wrongly). He is patient & shared good information. Gym is good & have quite a few Hyrox equipment. Good p... || Highly recommend Deluxe Mancave for private gathering. Equipped with the necessity and able to create cosy ambience. Staff is very attentive and offer the help you needed.",0,0,1,1,-1,0
Mandai,Mandai East,nature,10,4.9,3,0,1,3,3,0,0,0,1,0,0,0,"Absolutely loved this! Well worth a visit, which took us most of the day. You could rush through it in half a day but you want to allow time to be able to spot all the birds and wa... || Bird Paradise Singapore ​⭐⭐⭐⭐⭐ ​An Absolute Masterpiece of a Wildlife Park! ​As avid travelers who have visited countless sanctuaries and wildlife reserves across the globe, we can... || A wonderful place to see a variety of bird life and very informative diagrams available for the little ones. May get a little crowded, but you can plan ahead to get to the followin...",3,-2,3,0,1,0
Mandai,Mandai Estate,education,10,4.5,1,1,0,0,3,0,0,0,3,0,0,0,"the CC is a cosy and convenient place for community activities. It has clean facilities, friendly staff, and a welcoming atmosphere. Great spot for classes, events, and neighbourho... || I shouldn’t say this, but this is a good place to keep your health strong and away from the coronavirus! Free vaccination and booster shots at godly speed. The registering counter ... || Great place to play badminton or any sports related activities. Went to collect hand sanitizer and the staff were really efficient as well!",0,0,3,0,3,0
Mandai,Mandai Estate,transport,10,4.2,0,0,0,0,0,0,0,0,0,0,0,0,"Bus captain dalvinder singh from mandai bus depot is the best || Worst depot after bulim,only 1 bus svc to go to tis depot.Pity the bus captains.Poor management too.Better think twice b4 joining as a bus captain. || Fun place",0,0,0,0,0,0
Mandai,Mandai Estate,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Mandai,Mandai Estate,shopping,10,4.6,0,0,0,1,0,0,0,0,3,0,0,0,"One of the old malls that had been revamped. We were here years ago and after coming back bout 15years later, the place looks really different! Lets dive in! Location: Integrated w... || Explored Causeway Point in a day. Anchor tenants like Metro Store, Courts for electrical and furniture, Uniqlo Japanese fashion wear. Lots of F&B selections from Kopitiam Bagus hal... || Wow many eateries at the basement offering good food here. Also first floor have a lot of nice shops selling food for takeaway all in one shopping mall.",0,-1,0,0,3,0
Mandai,Mandai Estate,recreation,10,4.3,2,0,1,1,3,0,1,0,2,1,0,0,"Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of ... || On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refin... || Nice and clear place and the foods are damn good 👍",2,0,3,1,1,0
Mandai,Mandai Estate,nature,10,4.9,3,0,1,3,3,0,0,0,1,0,0,0,"Absolutely loved this! Well worth a visit, which took us most of the day. You could rush through it in half a day but you want to allow time to be able to spot all the birds and wa... || Bird Paradise Singapore ​⭐⭐⭐⭐⭐ ​An Absolute Masterpiece of a Wildlife Park! ​As avid travelers who have visited countless sanctuaries and wildlife reserves across the globe, we can... || A wonderful place to see a variety of bird life and very informative diagrams available for the little ones. May get a little crowded, but you can plan ahead to get to the followin...",3,-2,3,0,1,0
