planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Sembawang,Admiralty,education,10,4.0,3,5,0,0,1,0,0,0,3,0,0,0,"I went to the library 10 minutes before its closing time to print a document. Thought it would be straightforward so 10 minutes would be enough. Turns out it’s more complicated tha... || Nice Public Library. I like how the New Arrivals and Recently Returned Books are just a shelf near the entrance. The library is quite huge with small areas for you to study. There ... || First time visiting this Sembawang public library. Very cosy venue on first impression, lighting not overly bright but not too dim to make users to fall asleep. I noticed this venu...",-2,0,1,0,3,0
Sembawang,Admiralty,transport,10,4.0,1,0,0,2,0,0,0,0,3,0,0,1,"WORST MRT STATION EVER . - Congested at the tap out ++++ - There is shuttle bus to SSDC but NO SIGNAGE AT ALL -MRT staff gave wrong instructions. Eg : shuttle bus to SSDC at opposi... || Admiralty MRT (NS10) is an elevated station on Singapore's North-South Line (NSL) in the heart of Woodlands, known for its seamless integration with Kampung Admiralty, an innovativ... || One of the older stations in NSL. Simple, straightforward, elevator and escalator accesses, and connect directly to Admiralty Place. Not exactly a mall, but a consolidation of many...",1,-2,0,0,3,-1
Sembawang,Admiralty,food,10,4.3,0,0,0,5,3,0,0,0,1,0,4,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-5,3,0,1,4
Sembawang,Admiralty,shopping,10,4.2,0,0,0,5,2,0,0,0,3,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-5,2,0,3,0
Sembawang,Admiralty,recreation,10,3.7,0,0,0,1,0,0,1,0,0,1,0,0,"Did not personally visit the gym but wanted to give my sincerest thanks to their wonderful staff Adelin and Fariz (apologies if I misspelled your names), who helped my father durin... || Big field with alot of activities that I can do there, the gym is usually packed and it is right beside a swimming pool so I can cool off after a gym session. However, the distance... || Nov 2021 update: just renovated. Feel much larger than before. Only 1 toilet inside the gym, and 2 changing room though. Looks more modern.",0,-1,0,1,-1,0
Sembawang,Admiralty,nature,10,4.3,5,0,1,3,6,0,0,0,1,0,0,0,It is a park located in sembangwang. It is near the coast and used to be a navy base. So there are things inspired by the naval heritage like the compass and the battleship playgro... || Nice park located at the coast off Sembawang. Quiet enough for a good walk and chat with a friend. It has a nice and clean toilet in the middle of the park. There's also an activit... || Nice quiet park and great for taking slow walk. BBQ pits available for booking. Nice shelter and a beautiful playground. There is a Western and seafood restaurant. Dog lovers will ...,5,-2,6,0,1,0
Sembawang,Sembawang Central,education,10,4.3,2,4,0,0,2,0,0,0,2,0,0,0,"the CC is a cosy and convenient place for community activities. It has clean facilities, friendly staff, and a welcoming atmosphere. Great spot for classes, events, and neighbourho... || I shouldn’t say this, but this is a good place to keep your health strong and away from the coronavirus! Free vaccination and booster shots at godly speed. The registering counter ... || Great place to play badminton or any sports related activities. Went to collect hand sanitizer and the staff were really efficient as well!",-2,0,2,0,2,0
Sembawang,Sembawang Central,transport,10,3.4,1,0,0,2,0,0,0,0,0,0,0,1,"Very polite bus captain, many shop and services. || Ah, Tower Transit, with your half hour headways, you’re welcome to invade and infect wholesome Sembawang and Mandai Depot. || TTS should make 167 back to normal timings because this bus is ALWAYS CROWDED",1,-2,0,0,0,-1
Sembawang,Sembawang Central,food,10,4.7,1,0,0,3,0,0,0,0,0,0,2,0,"Visited Chong Pang Hawker Centre recently and tried a few stalls… overall a really satisfying meal. Started with Chuan Kee Boneless Braised Duck Rice. The duck was very tender and ... || A wet market and hawker centre located in a local area under an HDB. People are very nice and welcoming. My go to every week for fresh fruit and vegetables. Hawker foods are amazin... || Good old hawker with a mox of variety of food choices. The famous Chew Kuah, Duck Rice, Fish soup and Porridge, delicious Nyonya Chendol are just a few to mention. Highly recommend...",1,-3,0,0,0,2
Sembawang,Sembawang Central,shopping,10,4.7,0,0,0,4,1,0,0,0,3,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-4,1,0,3,0
