planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Marine Parade,East Coast,education,10,4.7,2,0,2,0,0,0,0,0,2,0,0,0,"One of the best national libraries I’ve seen, with a large number of books to rent. 24/7 book drop, a lot of magazines available to read, plenty of quiet, comfy and beautiful areas... || Perhaps the largest public library in Singapore. Hard to find a librarian for assistance, and bookings for seats are required if you do not want to be asked to leave just because s... || Came purely for the kids section of the library and it sure lived up to our expectations. The little one thoroughly enjoyed himself amidst the aquarium themed library and the endle...",2,2,0,0,2,0
Marine Parade,East Coast,transport,10,4.2,1,0,2,1,1,0,1,1,4,0,0,0,"On 24 April 2025, at approximately 4:30 PM, a group of students in school uniforms were observed loitering and sitting on the floor at the entrance of the Cheers outlet located in ... || Newly open TEL line that brings residents in the east and along the North-South Corridor closer to a train station and hence giving them faster access to the city. Marine Parade MR... || New mrt station in the neighborhood. Well designed and build, comes with underground bicycle park and open air car park nearby. It’s so quiet that I didn’t realize a train had arri...",1,1,1,0,4,0
Marine Parade,East Coast,food,10,4.4,0,3,0,6,0,0,0,0,1,0,1,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-3,-6,0,0,1,1
Marine Parade,East Coast,shopping,10,4.5,0,0,3,5,3,0,0,0,8,0,0,0,"Parkway Parade has that rare old school Singapore mall charm that newer malls still cannot really replicate. It is not the fanciest mall around anymore, but that is honestly part o... || Parkway Parade is one of the most popular mall in the east area. This mall is very crowded during weekends. This mall is connected to the Parkway Parade MRT and hence very convenie... || A return to a place I frequented during my army days in the 80s. 再次重游，记忆犹新! It’s amazing to see how much has changed, yet how familiar it still feels. Plus, with the new Marine Par...",0,-2,3,0,8,0
Marine Parade,East Coast,recreation,10,3.8,0,0,0,0,0,0,0,0,0,0,0,0,"Came here for a toastmasters meeting. Great facilities and ambiance. It looks like an engaging and well operated community Center. || Thank you Veronica for helping me to settle the Singpass matters. Also Karen too for your help re the SG seniors vouchers. These are 2 beautiful, kind n patient souls! || Has a sheltered basketball court that is used for everything except basketball. Ring is missing on one side of the court. Had so much potential as one of the only few sheltered bas...",0,0,0,0,0,0
Marine Parade,East Coast,nature,10,5.0,10,0,2,5,7,0,0,0,2,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",10,-3,7,0,2,0
Marine Parade,Katong,education,10,5.0,0,0,0,0,0,0,1,0,1,0,0,0,"To my surprise, this day care center offers wide range and comprehensive enrichment classes on weekday. My kid has more rest time over the weekend. The creative math and robotic & ... || The student care centre has been a reliable and positive environment for my children. The teachers are patient, caring, and dedicated. My children enjoys going to the centre. Thank... || My child has been attending for 2 years and we’ve had positive experience so far. From Ms Jie Ning to Ms Lia, both teachers have been patient & encouraging to help nurture the well...",0,0,0,1,1,0
Marine Parade,Katong,transport,10,4.2,1,0,2,1,1,0,1,1,4,0,0,0,"On 24 April 2025, at approximately 4:30 PM, a group of students in school uniforms were observed loitering and sitting on the floor at the entrance of the Cheers outlet located in ... || Newly open TEL line that brings residents in the east and along the North-South Corridor closer to a train station and hence giving them faster access to the city. Marine Parade MR... || New mrt station in the neighborhood. Well designed and build, comes with underground bicycle park and open air car park nearby. It’s so quiet that I didn’t realize a train had arri...",1,1,1,0,4,0
Marine Parade,Katong,food,10,4.2,1,0,0,1,3,0,0,0,0,0,0,0,"Had tried 88 prawn noodle at #01-56 Old school taste. Dried noodle is tasty, very spicy but shiok. Remember to ask for less spicy if you are not so hot. || 25 years never come this hawker centre. Heard just renovation. Impressed with the food choices. So many good Chinese and Malay food. Wanton mee, kolo mee, yong tao fu, chicken rice... || I discovered this new stall after the recent renovation of this very popular food centre. The steam fish extremely fresh and deliciously prepared. One of the best I have eaten whic...",1,-1,3,0,0,0
Marine Parade,Katong,shopping,10,4.5,0,0,3,5,3,0,0,0,8,0,0,0,"Parkway Parade has that rare old school Singapore mall charm that newer malls still cannot really replicate. It is not the fanciest mall around anymore, but that is honestly part o... || Parkway Parade is one of the most popular mall in the east area. This mall is very crowded during weekends. This mall is connected to the Parkway Parade MRT and hence very convenie... || A return to a place I frequented during my army days in the 80s. 再次重游，记忆犹新! It’s amazing to see how much has changed, yet how familiar it still feels. Plus, with the new Marine Par...",0,-2,3,0,8,0
Marine Parade,Katong,recreation,10,4.9,0,0,0,1,0,0,0,0,2,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,-1,0,0,2,0
Marine Parade,Katong,nature,10,5.0,10,0,2,5,7,0,0,0,2,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",10,-3,7,0,2,0
Marine Parade,Marina East (Mp),education,10,4.7,2,0,2,0,0,0,0,0,2,0,0,0,"One of the best national libraries I’ve seen, with a large number of books to rent. 24/7 book drop, a lot of magazines available to read, plenty of quiet, comfy and beautiful areas... || Perhaps the largest public library in Singapore. Hard to find a librarian for assistance, and bookings for seats are required if you do not want to be asked to leave just because s... || Came purely for the kids section of the library and it sure lived up to our expectations. The little one thoroughly enjoyed himself amidst the aquarium themed library and the endle...",2,2,0,0,2,0
Marine Parade,Marina East (Mp),transport,10,4.4,0,0,0,1,0,0,0,0,4,0,0,0,"Large playground with tall slides, rope climbing structures, swings and a smaller children play area. Good place for children to mingle and have fun together! There is a MacDonald’... || Kids friendly. Lots of activities for kids. spot to visit with families and kids.. activities to do: cycling(rent family/child/adult), swimming, playing with sand, kids playground.... || This place is amazing for those who want to give kid a place to have fun. I took the 196bus got here and went underpass then to the playground. I think its a best place for kids. I...",0,-1,0,0,4,0
Marine Parade,Marina East (Mp),food,10,4.7,1,0,0,4,1,0,0,0,0,0,3,3,"Old Airport Road Food Centre exceeded my expectations with a great variety of Singapore heritage dishes. I also loved the creativity behind many stall names referencing places like... || Old Airport Road Food Center is one of popular places for breakfast and lunch. There are many nice food around such as Lor Mee, Hokkien Mee, Prawn Noddle, Chicken Rice, Roasted Por... || Great hawker centre but it can get a little stuffy. Try to grab one of the round tables by the entrances or near the ventilation areas for more space and cool air. Loved the lor me...",1,-4,1,0,0,0
Marine Parade,Marina East (Mp),shopping,10,4.3,0,0,0,2,1,0,0,0,6,0,0,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,-2,1,0,6,-1
Marine Parade,Marina East (Mp),recreation,10,4.9,0,0,0,1,0,0,0,0,2,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,-1,0,0,2,0
Marine Parade,Marina East (Mp),nature,10,5.0,10,0,2,4,9,0,0,0,4,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",10,-2,9,0,4,0
Marine Parade,Marine Parade,education,10,4.7,1,0,0,0,0,0,0,0,1,0,0,0,"One of the best national libraries I’ve seen, with a large number of books to rent. 24/7 book drop, a lot of magazines available to read, plenty of quiet, comfy and beautiful areas... || Perhaps the largest public library in Singapore. Hard to find a librarian for assistance, and bookings for seats are required if you do not want to be asked to leave just because s... || Came purely for the kids section of the library and it sure lived up to our expectations. The little one thoroughly enjoyed himself amidst the aquarium themed library and the endle...",1,0,0,0,1,0
Marine Parade,Marine Parade,transport,10,4.3,0,0,0,1,1,0,0,0,4,0,0,0,"Never thought I would write a review for a MRT Station. The Circle Line disruption beginning end-Jan 2026 was managed so well. At every corner, there was someone available to assis... || I am not going to lie, there was a disruption at Mountbatten MRT Station. They did do a good job with putting up signs for a shuttle service bus to take us to the other station. Af... || Love this Mountbatten MRT station location. Previously had to take a complicated bus route home from Kallang station but not anymore. It conveniently connects to town specifically ...",0,-1,1,0,4,0
Marine Parade,Marine Parade,food,10,4.6,1,0,0,4,0,0,0,0,0,0,2,0,"This place has been around since we were young. And it is known to host many shops that sells the products for military, police and such. Lets dive in! Food: There have been change... || Besides the ever-popular claypot rice & Hokkien prawn mee (which had a long queue despite the odd hours), try out Dragon Curry’s Nan ru pork cutlet curry rice! Sweet curry with a l... || There are actually three levels at Golden Mile Food Centre. Most will visit the 1st and 2nd level where many good and popular food stalls are located but little people visit the 3r...",1,-4,0,0,0,2
Marine Parade,Marine Parade,shopping,10,4.5,2,0,1,5,3,0,0,0,2,0,1,0,"We went to Marinna Square Mall to have our HongKong Tim Sum today. We ordered a total of 6 dishes with 1 dessert. He had porridge,Chee cheong fun, fried carrot cake,pandan leaf ric... || If you are in Singapore for F1 next year, Marina Square is the place to be if you don't have tickets. At the rooftop gardens it offers a slight view, and you can get pretty close. ... || Marina Square is a bustling local favorite! Visited on a Saturday and the energy was high with multiple expos in full swing. It’s packed with unique small shops and a massive varie...",2,-4,3,0,2,1
Marine Parade,Marine Parade,recreation,10,3.4,0,0,0,0,0,0,0,0,0,0,0,0,"Came here for a toastmasters meeting. Great facilities and ambiance. It looks like an engaging and well operated community Center. || Thank you Veronica for helping me to settle the Singpass matters. Also Karen too for your help re the SG seniors vouchers. These are 2 beautiful, kind n patient souls! || Has a sheltered basketball court that is used for everything except basketball. Ring is missing on one side of the court. Had so much potential as one of the only few sheltered bas...",0,0,0,0,0,0
Marine Parade,Marine Parade,nature,10,5.0,10,0,2,4,9,0,0,0,4,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",10,-2,9,0,4,0
Marine Parade,Mountbatten,education,10,4.7,4,0,3,0,0,0,1,0,3,0,0,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...",4,3,0,1,3,0
Marine Parade,Mountbatten,transport,10,3.9,0,0,1,1,0,0,1,1,4,0,0,0,"Never thought I would write a review for a MRT Station. The Circle Line disruption beginning end-Jan 2026 was managed so well. At every corner, there was someone available to assis... || I am not going to lie, there was a disruption at Mountbatten MRT Station. They did do a good job with putting up signs for a shuttle service bus to take us to the other station. Af... || Love this Mountbatten MRT station location. Previously had to take a complicated bus route home from Kallang station but not anymore. It conveniently connects to town specifically ...",0,0,0,0,4,0
Marine Parade,Mountbatten,food,10,4.7,1,0,0,4,1,0,0,0,0,0,3,3,"Old Airport Road Food Centre exceeded my expectations with a great variety of Singapore heritage dishes. I also loved the creativity behind many stall names referencing places like... || Old Airport Road Food Center is one of popular places for breakfast and lunch. There are many nice food around such as Lor Mee, Hokkien Mee, Prawn Noddle, Chicken Rice, Roasted Por... || Great hawker centre but it can get a little stuffy. Try to grab one of the round tables by the entrances or near the ventilation areas for more space and cool air. Loved the lor me...",1,-4,1,0,0,0
Marine Parade,Mountbatten,shopping,10,4.6,0,0,0,1,0,0,0,0,3,0,1,1,"We went to Marinna Square Mall to have our HongKong Tim Sum today. We ordered a total of 6 dishes with 1 dessert. He had porridge,Chee cheong fun, fried carrot cake,pandan leaf ric... || If you are in Singapore for F1 next year, Marina Square is the place to be if you don't have tickets. At the rooftop gardens it offers a slight view, and you can get pretty close. ... || Marina Square is a bustling local favorite! Visited on a Saturday and the energy was high with multiple expos in full swing. It’s packed with unique small shops and a massive varie...",0,-1,0,0,3,0
Marine Parade,Mountbatten,recreation,10,3.8,0,1,0,0,0,1,0,0,1,1,0,0,"Came here for a toastmasters meeting. Great facilities and ambiance. It looks like an engaging and well operated community Center. || Thank you Veronica for helping me to settle the Singpass matters. Also Karen too for your help re the SG seniors vouchers. These are 2 beautiful, kind n patient souls! || Has a sheltered basketball court that is used for everything except basketball. Ring is missing on one side of the court. Had so much potential as one of the only few sheltered bas...",-1,0,-1,0,0,0
Marine Parade,Mountbatten,nature,10,4.9,10,0,2,3,1,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",10,-1,1,0,0,0
