planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Newton,Cairnhill,education,10,5.0,2,0,0,0,1,0,4,0,0,0,0,0,"We are very happy with this kiddiwinkie! The teachers are caring, patient, and truly dedicated to the children’s growth and well-being. My son looks forward to school every day and... || My daughter started at this school when she was 18 months old. I visited many schools, but I loved the environment here the most. The school is located in a quiet, standalone setti... || Big thank you teacher Elsie and Lu Laoshi for their care and support of the children. The school is well organised with a lot of activities. My kid likes is happy to come to school...",2,0,1,4,0,0
Newton,Cairnhill,transport,10,4.3,0,1,0,3,5,0,0,0,6,0,0,1,"Never seen a more beautiful MRT station that incorporates nature even above it. Newton MRT is very special and gives a luxurious vibe even from walking along the footpaths. Pretty ... || Passed by this station. It was, as usual, clean and immaculate throughout the MRT, which includes the toiletries. Many places you can go to from this MRT stop. Overall, a nice and ... || Another clean, efficient Singapore metro station. This one is particularly convenient as it serves the blue and red lines, making it a popular interchange when travelling downtown....",-1,-3,5,0,6,-1
Newton,Cairnhill,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Newton,Cairnhill,shopping,10,4.7,1,0,0,1,1,0,0,0,4,0,0,1,"Tucked within the vibrant heart of Tekka Food Centre, 蒸好味 Steamed Fish Cuisine is a quiet ode to the beauty of honest, well-executed cooking. What sets this humble gem apart is its... || The food never disappoints—every bite hits the spot. While the service is decent, there’s still room to elevate the overall experience. If you want to enjoy it at its best, come be... || The first time I tried the food stalls here was on a Sunday afternoon. It was crowded and I got overwhelmed. I came back on a Wednesday and had tremendous service even though we ba...",1,-1,1,0,4,-1
Newton,Cairnhill,recreation,10,4.8,0,0,2,0,2,0,1,0,1,0,0,0,"I recently attended a small group circuit training session at Trilogic Fitness in Novena and had a great experience. The gym is spacious, fully air-conditioned, and conveniently lo... || My first time here today and was awed by the size and spaciousness of the gym. It has the best of both worlds; strength and cardio areas. Also hyrox stations if that’s your thing! ... || Trilogic is such an amazing gym: well rounded for all types of training needs, impeccably clean and well-maintained equipment and facilities, and always gives 100% positive energy ...",0,2,2,1,1,0
Newton,Cairnhill,nature,10,5.0,9,0,1,3,1,0,0,0,2,0,0,0,"HortPark has been around for more than a decade, and I’ve been coming here for many years — sometimes with family, sometimes for team-building activities, and sometimes just to enj... || Always an enjoyable stop for a Saturday morning outing with family. Young kids were fascinated with how the terrapins climbed out from the pond to get a bit of sunbathing. Good opp... || HortPark is a hidden gem that is perfectly connected to Kent Ridge Park and the Alexandra Arch, making it a great spot for a scenic walk. The park is very well-equipped with a mult...",9,-2,1,0,2,0
Newton,Goodwood Park,education,10,4.7,3,0,1,0,0,0,1,0,2,0,0,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...",3,1,0,1,2,0
Newton,Goodwood Park,transport,10,3.9,0,0,1,2,6,0,0,0,6,0,0,1,"Buona Vista MRT Station is one of the most convenient and well-designed stations in Singapore. It serves as an interchange for the East-West Line (EWL) and the Circle Line (CCL), m... || Buona Vista MRT Station is a very clean and convenient interchange between the East–West Line and Circle Line. Transfers are easy, and the station has clear signs, lifts, and good ... || Great station - close to the Star Vista Mall where you can find food, drinks, Cold Storage. It serves Green & Yellow lines although it can be confusing to navigate from one to the ...",0,-1,6,0,6,-1
Newton,Goodwood Park,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Newton,Goodwood Park,shopping,10,4.7,1,0,0,1,1,0,0,0,4,0,0,1,"Tucked within the vibrant heart of Tekka Food Centre, 蒸好味 Steamed Fish Cuisine is a quiet ode to the beauty of honest, well-executed cooking. What sets this humble gem apart is its... || The food never disappoints—every bite hits the spot. While the service is decent, there’s still room to elevate the overall experience. If you want to enjoy it at its best, come be... || The first time I tried the food stalls here was on a Sunday afternoon. It was crowded and I got overwhelmed. I came back on a Wednesday and had tremendous service even though we ba...",1,-1,1,0,4,-1
