planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Rochor,Bencoolen,education,10,4.7,2,0,2,0,0,0,0,0,2,0,0,0,"One of the best national libraries I’ve seen, with a large number of books to rent. 24/7 book drop, a lot of magazines available to read, plenty of quiet, comfy and beautiful areas... || Perhaps the largest public library in Singapore. Hard to find a librarian for assistance, and bookings for seats are required if you do not want to be asked to leave just because s... || Came purely for the kids section of the library and it sure lived up to our expectations. The little one thoroughly enjoyed himself amidst the aquarium themed library and the endle...",2,2,0,0,2,0
Rochor,Bencoolen,transport,10,4.6,0,0,1,2,7,0,1,0,9,0,1,0,"I alighted and later boarded here today (5 March 2026). Earlier, I alighted to visit the nextdoor via Exit A, Sim Lim Square. As I live in the Hillview area, this Downtown Line sta... || 🟦 Rochor MRT station 11 Rochor Canal Road ● Singapore 188505 🟦 Rochor MRT Station (✅️ DT13) ************************************* 🔵 This is my first visit to Rochor MRT Station. ● ... || MRT Station nearby SIM LIM tower",0,-1,7,1,9,1
Rochor,Bencoolen,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Rochor,Bencoolen,shopping,10,4.7,1,0,0,1,1,0,0,0,4,0,0,1,"Tucked within the vibrant heart of Tekka Food Centre, 蒸好味 Steamed Fish Cuisine is a quiet ode to the beauty of honest, well-executed cooking. What sets this humble gem apart is its... || The food never disappoints—every bite hits the spot. While the service is decent, there’s still room to elevate the overall experience. If you want to enjoy it at its best, come be... || The first time I tried the food stalls here was on a Sunday afternoon. It was crowded and I got overwhelmed. I came back on a Wednesday and had tremendous service even though we ba...",1,-1,1,0,4,-1
Rochor,Bencoolen,recreation,10,4.4,0,0,2,0,3,0,0,0,1,0,0,0,"The Singapore Recreation Club (SRC) Review on 20/1/2026 The Singapore Recreation Club (SRC), founded in 1883 and set along the iconic Padang, is one of Singapore’s most historic so... || Private club in central district with roofed warm and cold swimming pool, restaurant, bar with live band and cafe. Cost environment for private gathering and easily accessible by M... || Dinner with an old friend at the SRC'S Chinese Restaurant. Reminiscent of the old days in Singapore, with traditions alive and well. Very pleasant evening 😊😋",0,2,3,0,1,0
Rochor,Bencoolen,nature,10,5.0,10,0,2,1,2,0,0,0,2,0,0,0,"Gardens by the Bay is truly an amazing place and definitely a must-visit attraction in Singapore. The entire area is beautifully designed, extremely clean, and very well maintained... || Gardens by the Bay is truly a highlight of Singapore and absolutely not to be missed. I’d highly recommend getting a combo ticket for the Cloud Forest and Flower Dome—plan for abou... || Gardens by the Bay is absolutely magical and one of my favorite spots in Singapore. The Supertree Grove is stunning, especially at night when the light and sound show begins—it fee...",10,1,2,0,2,0
Rochor,Farrer Park,education,10,4.8,4,2,2,1,0,0,0,0,5,0,0,0,"Visited the National Library Building mainly for The Albatross File: Singapore’s Independence Declassified exhibition, and it turned out to be a meaningful experience. The exhibiti... || The National Library is conveniently located with good traffic access from around the island. It’s a comfy cool place to be if your want to study, research and just reading. You ma... || The Albatross File exhibition at NLB is a fascinating showcase of Singapore’s separation history, featuring declassified documents, oral histories, and immersive multimedia display...",2,1,0,0,5,0
Rochor,Farrer Park,transport,10,4.1,2,0,0,2,5,1,0,0,6,0,1,0,"This MRT theme is Old Singapore art paintings. Take time to observe, we could see four to five old Singapore paintings showcased. The one at train level is the big art showing Sim ... || The ramp / walkway leading up to the escalator is so dirty and looked like it have never been clean before with so many stains left for months or even longer than that. Upkeep of c... || Singapore's MTR and transportation system is not a question at all. The train were quite new and well maintained, clean inside and fewer passengers. The MTR system map is also acce...",2,-2,4,0,6,1
Rochor,Farrer Park,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Rochor,Farrer Park,shopping,10,4.7,1,0,0,1,1,0,0,0,4,0,0,1,"Tucked within the vibrant heart of Tekka Food Centre, 蒸好味 Steamed Fish Cuisine is a quiet ode to the beauty of honest, well-executed cooking. What sets this humble gem apart is its... || The food never disappoints—every bite hits the spot. While the service is decent, there’s still room to elevate the overall experience. If you want to enjoy it at its best, come be... || The first time I tried the food stalls here was on a Sunday afternoon. It was crowded and I got overwhelmed. I came back on a Wednesday and had tremendous service even though we ba...",1,-1,1,0,4,-1
