planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Jurong East,International Business Park,education,67,4.627,4,0,4,1,3,0,3,0,1,1,0,1,"Lovely school. Kids learn & grow happily here. This is our sports day || As a father, I am absolutely delighted with the experience my children are having at Mulberry Jurong East Childcare Centre! When my wife and I enrolled our son and daughter, we kne... || Best place where a kid can be! The teachers have lots of patience toward every child. My kids love school so much and they look forward to school every single day. The teachers bui...",4,3,3,3,0,-1
Jurong East,International Business Park,transport,29,3.138,0,0,1,1,5,0,0,0,8,2,0,0,"I have headed here in singapore to head to IMM mall. Metro ride was good. Im thrilled to see everyone using metro besides personal transport. Most of the people are very friendly g... || I love in the West. I've been using the JE MRst exchange since 1991. The ceiling plan hasn't changed at all since then. Until recently, this roof wasn't washed much at all and even... || This MRT Station is strategically located in Jurong East with two popular shopping malls in the area directly connected to it and with the IMM shopping mall and the Ng Teng Fong Co...",0,0,5,0,6,0
Jurong East,International Business Park,food,34,4.353,2,0,0,2,2,0,0,0,0,0,7,0,"Came here to take-out the Bittergourd Fish Soup as I heard good things about this soup. It was indeed well worth it as the generous portion makes me regretted getting the big porti... || tried bittergourd fish soup. Its is truly value for money. Very worth it. Air con environment. Rice is soft. Fish slices is fresh. || The new noodle stall is pretty good in terms of food and presentation, just need to improve their work flow to save faster.",2,-2,2,0,0,7
Jurong East,International Business Park,shopping,40,4.375,1,0,4,3,5,0,0,0,4,0,2,0,"A nice and modern mall conveniently located at the Jurong East transportation hub, with sheltered walkways linking it to two other popular malls in the area. The mall is spacious, ... || Mall is around 10 years old located in Jurong east central and beside the MRT station. Good shopper traffic, more home goods, Fnb and lifestyle/services shops such as Nittori, Drea... || Great place for casual shopping. Good spread of food. Easy connection to the jurong east train station.",1,1,5,0,4,2
Jurong East,International Business Park,recreation,46,4.174,4,3,3,3,13,3,3,1,6,0,2,2,"Only has a smith machine and dumbbells for the weight section. It is quite an old minded thing to have only smith machine and not free weight barbell, people would assume that is t... || So convenient to visit gym near my place without signing up for expensive memberships. Awesome! || It's a chill place to work out at, especially at night.",1,0,10,2,6,0
Jurong East,International Business Park,nature,20,4.0,5,0,0,0,0,0,0,1,1,0,0,0,"A lovely small rainforest park tucked away in the west that feels surprisingly immersive despite its compact size. The walking trails are well-paved and shaded by tall trees, makin... || It was my first and hope it's not the last visit to this place. I really want to go there again. Really liked the place and enjoyed walking around this place. This would definitely... || Didn't realise there was a quarry in the park, took a long walk in nature and found many wonderful things! Was caught by a sudden downpour, appreciated the thick trees around the a...",5,0,0,-1,1,0
Jurong East,Jurong Gateway,education,45,4.733,0,0,0,0,1,0,3,0,1,0,0,0,"We’re really thankful to the team at Kiddiwinkie Schoolhouse @ Jurong Gateway for the care and attention they’ve given to our daughter, Aeryn. Big thanks to Teacher Gwen, Huang Lao... || How much do my kids enjoy this school? Their eagerness to enter school at morning drop-offs and requesting later pick-ups (so they can spend more time in school) says it all. The t... || We see the heart and soul effort that Teacher Em and Dou Laoshi put into educating the kids. Under their care, my son has developed a stronger compassionate heart, improved his mot...",0,0,1,3,1,0
Jurong East,Jurong Gateway,transport,5,4.2,0,0,0,1,0,0,0,0,0,0,0,0,"Jurong Region Line Stage 2 Jurong East MRT station || West side best side! Lets make west side great again! || Not open yet, will be done by 2027. The Jurong East area has been under construction for the longest time I have remembered...",0,-1,0,0,0,0
Jurong East,Jurong Gateway,food,40,4.225,2,0,3,4,2,0,0,1,1,0,10,2,"Yuhua village hawker has many good and affordable options such as fishball minced meat noodle at $3, 139 hainanese chicken rice 2 person set with alot of meat at $10. Along the way... || Unlike most hawker center that are of rectangular structure where they usually struggle for air ventilation when all stalls are opened, this place is airy even during its busiest t... || Yuhua Village Market and Foods Centre is one of my go-to places for fresh groceries and affordable, delicious meals. The wet market has a great selection of fruits, vegetables, mea...",2,-1,2,-1,1,8
Jurong East,Jurong Gateway,shopping,20,4.2,1,0,1,4,0,0,0,0,8,0,0,0,"JEM is one of my favourite malls in the west of Singapore. It has a great mix of restaurants, cafes, hair salons, retail shops, and even a cinema, so there is always something to d... || Lots of things to do, eat, and shop at Jem. Plenty of parking on a weekday night like last night, although weekend parking can be crowded at certain times. Love the new Shaw Theatr... || Foodie’s Mall, lots of options. And in Fairprice Xtra, you can find the Lotte Mart and self serve instant noodles like that in Seoul convenience mart. See pics.",1,-3,0,0,8,0
Jurong East,Jurong Gateway,recreation,20,3.65,1,0,0,1,6,0,0,0,1,0,0,0,"Requested to cancel my membership via WhatsApp on 5th Jan 26 But the person asked me to contact another WhatsApp So I did, and asked me to make an appointment to physically meet wi... || I am extremely disappointed with the customer service at this branch I reached out online to inquire about promotions, but the staff refused to provide any details, insisting that ... || I was informed that i have a outstanding payment of $110 after sorting out and paid the amount payable the next day when i was trying to get into the gym my access pass failed. It ...",1,-1,6,0,1,0
Jurong East,Jurong Gateway,nature,28,3.929,15,1,1,0,0,0,2,0,5,0,0,0,"a place where u can bring your pets for a staycation or a swim workout, bring your kids for swimming lesson, play some tennis or do some gardening shopping. Situated just opposite ... || If you want to play Pickleball at night, this is one of the best places || like t9 come here to buy plants and gardening accessories at World Farm. best nursery in Sg.",14,1,0,2,5,0
Jurong East,Jurong Port,education,30,4.433,9,3,1,1,3,0,1,0,2,0,1,0,"My child has been attending this childcare centre since playgroup and is now 5 years old. We are truly thankful for the care, patience, and guidance given by the teachers throughou... || Thank you, LFP. I enrolled my little girl in Playgroup about a month ago, and I am grateful for the care and support she has received. A special thank you to her Playgroup teachers... || Both of our girls, Euna and Eslyn, joined LFP @ Jurong East 248 when they were 18 months old, starting from playgroup. Over the years, as they progressed through each level, every ...",6,0,3,1,2,1
Jurong East,Jurong Port,transport,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,Few malay stalls here and gd food,0,0,0,0,0,0
Jurong East,Jurong Port,food,20,4.25,2,0,0,0,0,0,0,0,0,0,2,1,"There are 7 stalls now. 1 economic mixed rice with nasi lemak, 1 fishball noodle, 1 chick rice, 2 muslim food, 2 snacks and drinks. One of Muslim food stall is Syed Ibrahim Biryani... || It’s a simple and basic food centre with a couple of food stalls (halal foods too) and many tables/seats. It’s mainly opens for breakfast and lunch. || Good quality malay food with nice varieties! Best to come early before 12noon",2,0,0,0,0,1
