planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Orchard,Boulevard,education,10,5.0,0,0,0,0,0,0,0,0,0,0,0,0,"We joined Odyssey for 2 year now, as parent, very happy to see the development of our kid, the curriculum is great, inclusive, not just focus on academics, but also in social, cult... || Incredible campus with big outdoor field! Teachers are all passionate, patient & caring for the kids! Early childhood development is crucial for our kids and Odyssey Wilkinson is t... || Very nurturing teachers and great environment to grow the little ones. We love the outdoor space and also the many curated activities and events the school put together. Thank you ...",0,0,0,0,0,0
Orchard,Boulevard,transport,10,4.7,1,0,0,0,4,0,0,0,0,0,0,0,Came here and forgot my bus card. Thank god that singapore has amazing people. The bus terminal person there understood my situation and let me go to bugis for free. When I got to ... || I add already but can’t see in google when will updates || Spaceship looking station that just on the main road of singgapore poly. There a 7 eleven store that not open 24hours,1,0,4,0,0,0
Orchard,Boulevard,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Orchard,Boulevard,shopping,10,4.8,0,0,0,3,2,0,0,0,6,0,0,1,"This shopping mall is highly convenient and offers an impressive variety of stores, making it a place where you can find almost anything you need. The directory includes a well-sto... || A nice, bustling shopping mall set over multiple levels. Lots of restaurants and takeaways across multiple levels, plus a large Kopitiam food court on Level 6. Besides the eateries... || Plaza Singapura is very crowded but extremely useful. I had multiple skin and hair treatments here and got excellent results was 99.99.9% effective. You can trust the professionals...",0,-3,2,0,6,-1
Orchard,Boulevard,recreation,10,3.4,0,0,0,0,0,0,0,0,0,0,0,0,"Came here for a toastmasters meeting. Great facilities and ambiance. It looks like an engaging and well operated community Center. || Thank you Veronica for helping me to settle the Singpass matters. Also Karen too for your help re the SG seniors vouchers. These are 2 beautiful, kind n patient souls! || Has a sheltered basketball court that is used for everything except basketball. Ring is missing on one side of the court. Had so much potential as one of the only few sheltered bas...",0,0,0,0,0,0
Orchard,Boulevard,nature,10,5.0,7,0,1,1,0,0,0,0,0,0,1,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",7,0,0,0,0,1
Orchard,Somerset,education,10,4.7,3,0,0,0,0,0,0,0,1,0,0,0,"Teacher Jolene has been an amazing Science teacher for Noah. Even though the lessons are conducted online via Zoom, she is able to keep the students highly engaged through her ener... || We have had a very positive experience with BlueTree Education. Teacher Faith, Teacher Jolene and Teacher Hui Lin are all very dedicated, patient and caring teachers who genuinely ... || Teacher Hui Lin is a dedicated and caring teacher with a true passion for Science. I greatly appreciate that she provides weekly updates to parents on what has been covered in clas...",3,0,0,0,1,0
Orchard,Somerset,transport,10,4.9,1,0,0,1,8,0,0,0,1,0,0,0,"Amazing vegetarian am eat curries cooked to perfection with absolute perfect blend of spices and flavour ...most authentic and with passion and love...this is a real family restaur... || Excellently located MRT Station on the Northsouth Line (red colour line), conveniently connecting TripleOne Somerset and 313 Somerset, with covered walkways to either sides which h... || this is one of the mrt stations we go to the most! although it is crowded throughout the day, it is very clean. it is also directly connected to 313 somerset, orchard central and o...",1,-1,8,0,1,0
Orchard,Somerset,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Orchard,Somerset,shopping,10,4.8,0,0,0,3,2,0,0,0,6,0,0,1,"This shopping mall is highly convenient and offers an impressive variety of stores, making it a place where you can find almost anything you need. The directory includes a well-sto... || A nice, bustling shopping mall set over multiple levels. Lots of restaurants and takeaways across multiple levels, plus a large Kopitiam food court on Level 6. Besides the eateries... || Plaza Singapura is very crowded but extremely useful. I had multiple skin and hair treatments here and got excellent results was 99.99.9% effective. You can trust the professionals...",0,-3,2,0,6,-1
Orchard,Somerset,recreation,10,4.6,2,0,1,1,5,0,1,0,3,0,0,0,"Hidden away in the Rifle Range greenery, Temasek Club honestly feels like one of those underrated chill spots in Singapore. The whole place has a peaceful resort vibe with lots of ... || On 6 March 2026, I had the privilege of visiting Temasek Club during a Taiwan–Singapore exchange meeting. The venue is beautiful and well maintained, creating a welcoming and refin... || Nice and clear place and the foods are damn good 👍",2,0,5,1,3,0
Orchard,Somerset,nature,10,5.0,10,0,2,1,2,0,0,0,2,0,0,0,"Gardens by the Bay is truly an amazing place and definitely a must-visit attraction in Singapore. The entire area is beautifully designed, extremely clean, and very well maintained... || Gardens by the Bay is truly a highlight of Singapore and absolutely not to be missed. I’d highly recommend getting a combo ticket for the Cloud Forest and Flower Dome—plan for abou... || Gardens by the Bay is absolutely magical and one of my favorite spots in Singapore. The Supertree Grove is stunning, especially at night when the light and sound show begins—it fee...",10,1,2,0,2,0
Orchard,Tanglin,education,10,4.4,4,0,1,0,0,0,1,0,3,0,0,0,"Nice and quiet. Library staff are helpful. But mobile data signal by Simba ( 1 bar inside, 2 -3 bars outside. not sure about the others) is really poor. Couldn't even login to ""che... || Queenstown library is a heritage building, rich in its own history. Spacious with two levels, kids area is on the first floor. The second floor for adults is really quiet with nice... || building's exterior may look unassuming or even a lil spooky but the inside is really cozy and homely! lovely space, limited tables but plenty of seats if you really want a table, ...",4,1,0,1,3,0
