planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Singapore River,Boat Quay,education,10,4.5,6,2,0,1,0,0,1,0,1,0,0,1,"​If you're looking for the most scenic library in Singapore, this is it. Located on the 3rd floor of VivoCity, library@harbourfront is a masterclass in modern, functional design. ​... || Visited Library @ HarbourFront — one of the nicest local libraries to relax and enjoy some quiet time with a book. The view overlooking Sentosa Island adds to the calming ambiance,... || staff are attentive to library users needs: noticed staff approached, 2grandmas and a lady with infant in hand and her pre schooler, to park the stroller to the designated area to ...",4,-1,0,1,1,-1
Singapore River,Boat Quay,transport,10,4.5,1,0,0,1,1,0,0,0,3,0,0,0,"Watching Commonwealth MRT Station rise from the ground years ago is a memory etched in grit, defined by enduring endless clouds of construction dust and grinding gridlock along Com... || nearly have to walk down 2 flights of stairs ! Lucky to meet the nice cleaner who stopped me and directed me to the other hidden invalid toilet at the other side of a store entranc... || New stall Veggie stall at morning: mee hoon, brown rice + others veggie 🥕 for your selection.",1,-1,1,0,3,0
Singapore River,Boat Quay,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Singapore River,Boat Quay,shopping,10,4.8,0,0,0,0,5,0,0,0,4,0,0,1,"A lifesaver in the heat of Chinatown! Located right above the MRT station, this mall is the perfect place to cool down. I highly recommend visiting the NTUC FairPrice supermarket i... || I really enjoy walking around here, the streets are very walkable, clean. There are so many food spots, cafe, and small shops, so it never feels boring. Easy to access by MRT and a... || Chinatown has the old side that has not changed and the new side with full of contemporary restaurants. In the center is a beautiful temple. Along the streets are full of shops sel...",0,0,5,0,4,-1
Singapore River,Boat Quay,recreation,10,4.8,0,0,0,0,2,0,2,0,1,0,0,0,"The Singapore Recreation Club (SRC) Review on 20/1/2026 The Singapore Recreation Club (SRC), founded in 1883 and set along the iconic Padang, is one of Singapore’s most historic so... || Private club in central district with roofed warm and cold swimming pool, restaurant, bar with live band and cafe. Cost environment for private gathering and easily accessible by M... || Dinner with an old friend at the SRC'S Chinese Restaurant. Reminiscent of the old days in Singapore, with traditions alive and well. Very pleasant evening 😊😋",0,0,2,2,1,0
Singapore River,Boat Quay,nature,10,4.9,10,0,2,3,1,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",10,-1,1,0,0,0
Singapore River,Clarke Quay,education,10,4.4,2,1,0,1,3,0,1,1,2,0,0,0,"Clarke Quay Central is a great mall with a fantastic view of the Boat Quay riverside 🌊🚤✨. It has a wide variety of shops to explore, and you can even find some discounted items at ... || It has been a while since I was last here - at this, in the Chinatown area, shopping mall that is patronised by locals and tourists alike. While I have always found the layout and ... || ​Clarke Quay Central is undeniably awkwardly built, featuring a quirky layout that defies standard mall logic. The placement of shops and odd corners often cuts off the natural flo...",1,-1,3,0,2,0
Singapore River,Clarke Quay,transport,10,4.2,0,0,1,2,4,0,0,0,4,0,1,0,"There are two exits here. Air-conditioning very strong. Super clean MRT but couldn't easily find the toilet signage. The attached photo is at exit A. || Fort Channing MRT station has two exits, each leading to different areas, however close. It was relatively empty when I arrived there, and it was quite extensive inside. In terms o... || Woah the mrt staff is so nice once my phone died and I didn’t bring my EZ-Link and he let me ride the MRT for Free!!Love this staff",0,-1,4,0,4,1
Singapore River,Clarke Quay,food,5,4.4,0,0,0,1,1,0,0,0,0,0,2,0,"So happy to come across this affordable makan place, just next to Clarke Quay! The Minced Meat Mushroom noodle was really good! The noodle was nicely cooked, not soggy nor hard, an... || Parked at Clarke Quay CP by Canning Lane, in the early morning I wasn't sure where I could get some simple breakfast or should I walk over to The Central mall. But I walked along t... || Located near the river front they offer a wide variety of curry rice options. Ambience - place is pretty hygienic and they offer outdoor sitting and it is situated near the river f...",0,-1,1,0,0,2
Singapore River,Clarke Quay,shopping,10,4.9,0,0,2,0,0,0,0,0,4,0,0,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,2,0,0,4,-1
Singapore River,Clarke Quay,recreation,10,4.8,0,0,0,0,5,0,0,0,2,0,0,0,"Fitness First One George is my favorite branch by far. The space is beautifully well-lit in the mornings, with a great view that really sets the mood for a good workout. You can ev... || This studio has a nice view and even gets good sunlight—perfect if you enjoy a little post-workout suntanning. The equipment selection is complete. The floor plan is a bit small, b... || Workout are always creative and challenging but what I most value is the excellent impact for every minute spent exercising. I have spent longer in the gym but with nothing like th...",0,0,5,0,2,0
Singapore River,Clarke Quay,nature,10,4.8,6,1,1,1,5,0,1,1,2,0,0,0,"Gardens by the Bay is truly an amazing place and definitely a must-visit attraction in Singapore. The entire area is beautifully designed, extremely clean, and very well maintained... || Gardens by the Bay is truly a highlight of Singapore and absolutely not to be missed. I’d highly recommend getting a combo ticket for the Cloud Forest and Flower Dome—plan for abou... || Gardens by the Bay is absolutely magical and one of my favorite spots in Singapore. The Supertree Grove is stunning, especially at night when the light and sound show begins—it fee...",5,0,5,0,2,0
Singapore River,Robertson Quay,education,10,4.8,6,1,2,1,0,0,0,0,2,0,0,0,"​If you're looking for the most scenic library in Singapore, this is it. Located on the 3rd floor of VivoCity, library@harbourfront is a masterclass in modern, functional design. ​... || Visited Library @ HarbourFront — one of the nicest local libraries to relax and enjoy some quiet time with a book. The view overlooking Sentosa Island adds to the calming ambiance,... || staff are attentive to library users needs: noticed staff approached, 2grandmas and a lady with infant in hand and her pre schooler, to park the stroller to the designated area to ...",5,1,0,0,2,0
Singapore River,Robertson Quay,transport,10,4.5,0,0,0,1,8,0,0,0,1,0,1,0,"Clarke Quay is one of the MRT station of North East Line. It is located just next to the southern part of Singapore River and Clarke Quay, underneath The Central building. It is al... || Superb MRT station... Neat & clean... Every 2 minutes have metro train timing... Simply grocery item's are available here... Like 7 eleven etc.... Very nice experience... || Singapore's MRT is the standard by which the rest of the world needs to catch up. Incredibly well designed, efficient, timely, well maintained and clean. So easy to use it's a tour...",0,-1,8,0,1,1
Singapore River,Robertson Quay,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Singapore River,Robertson Quay,shopping,10,4.7,2,0,1,4,3,0,0,0,5,0,0,1,"Vivocity shopping mall is located at harborfront mrt station.inside vivocity there is harbourfront centre.therefore vivocity is a shopping mall with lots of food n shopping.there i... || A crowded megamall in Singapore. Can go there directly by MRT, very convenient! The malls have so many shoplots, restaurants and cafes. A lot of branded shops can be found at here.... || Really enjoyed visiting VivoCity 🛍️ The mall is HUGE and has pretty much everything you need. Lots of shopping, food options, cafes, and entertainment all in one place. It’s also s...",2,-3,3,0,5,-1
Singapore River,Robertson Quay,recreation,10,4.0,0,0,0,1,1,0,0,0,3,0,1,0,"The Singapore Recreation Club (SRC) Review on 20/1/2026 The Singapore Recreation Club (SRC), founded in 1883 and set along the iconic Padang, is one of Singapore’s most historic so... || Private club in central district with roofed warm and cold swimming pool, restaurant, bar with live band and cafe. Cost environment for private gathering and easily accessible by M... || Dinner with an old friend at the SRC'S Chinese Restaurant. Reminiscent of the old days in Singapore, with traditions alive and well. Very pleasant evening 😊😋",0,-1,1,0,3,1
Singapore River,Robertson Quay,nature,10,5.0,10,0,2,1,2,0,0,0,2,0,0,0,"Gardens by the Bay is truly an amazing place and definitely a must-visit attraction in Singapore. The entire area is beautifully designed, extremely clean, and very well maintained... || Gardens by the Bay is truly a highlight of Singapore and absolutely not to be missed. I’d highly recommend getting a combo ticket for the Cloud Forest and Flower Dome—plan for abou... || Gardens by the Bay is absolutely magical and one of my favorite spots in Singapore. The Supertree Grove is stunning, especially at night when the light and sound show begins—it fee...",10,1,2,0,2,0
