planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Changi,Changi Airport,education,10,3.9,2,0,2,1,1,1,0,0,1,0,0,1,"Visited the National Library Building mainly for The Albatross File: Singapore’s Independence Declassified exhibition, and it turned out to be a meaningful experience. The exhibiti... || The National Library is conveniently located with good traffic access from around the island. It’s a comfy cool place to be if your want to study, research and just reading. You ma... || The Albatross File exhibition at NLB is a fascinating showcase of Singapore’s separation history, featuring declassified documents, oral histories, and immersive multimedia display...",2,1,0,0,1,-1
Changi,Changi Airport,transport,10,4.3,3,0,1,1,4,0,1,0,1,0,1,0,"The airport is exceptionally clean, modern, and equipped with world-class facilities, making travel and transit very comfortable for international visitors. The arrival and departu... || Very good option for affordable, safe and secured transport to/from Changi airport. It’s reliable and you’re protected from rain unlike taking buses where bus stops are lacking of ... || Easiest way to travel from Changi airport to the city. You have to buy MRT card to use the metro. Price is 10 SGD where 5 SGD is the balance. You can use credit card also but note ...",3,0,4,1,1,1
Changi,Changi Airport,food,10,4.1,0,3,0,4,0,0,0,0,0,0,1,1,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-3,-4,0,0,0,0
Changi,Changi Airport,shopping,10,4.9,3,0,0,3,5,0,1,0,5,0,2,0,"Tampines mall has so many shops.singtel,m1,starhub all in 1 place... Toys r us,popular bookstore,clothing shops some of them r Uniqlo,bossini,cotton on,Giordano,everybody would env... || If you live in the East, Tampines Mall is likely your second home. As one of the most established neighbourhood malls in Singapore, it remains a powerhouse for shopping, dining, an... || There are 3 plazas in Tampines, basically covering all the brands you’d normally need. The food options have also grown a lot—many more fragrance hotpot stalls, and even Lanzhou be...",3,-3,5,1,5,2
Changi,Changi Airport,recreation,10,4.8,0,0,0,3,0,0,0,0,2,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,-3,0,0,2,0
Changi,Changi Airport,nature,10,4.8,7,1,1,1,2,0,0,0,0,0,0,0,"I visited here for a morning walk. The park is quite large, so you'll definitely work up a sweat walking around. I highly recommend bringing a water bottle. It's full of nature, an... || Relaxing spot, perfect for a nature retreat while in the city. A lot less crowded than you'd expect, considering it's central spot. It's a collection of spots really, rather than a... || This is a quiet green park in Singapore. Looks like an old park with lot of greenery. It's clam, quiet and with lot of shade its ideal for a relaxing time. The famous Fort canning ...",6,0,2,0,0,0
Changi,Changi Point,education,10,3.8,5,0,1,6,4,1,0,0,1,0,0,1,"Review of ✔️NLB Public Library Tampines Regional at Our Tampines Hub (OTH) 👍 On November 18, 2025, I had the opportunity to visit the large community centre, Our Tampines Hub (OTH)... || Step into a space where curiosity thrives and knowledge knows no bounds. The Tampines Library isn’t just a building of books—it’s an inviting haven designed to spark learning and i... || One of the best libraries in Singapore, hands down. This place is more than just a library it’s a full lifestyle and learning hub. Spread across five levels, the space is huge, mod...",5,-5,3,0,1,-1
Changi,Changi Point,transport,10,4.6,0,0,1,2,1,0,1,0,1,0,2,0,"The airport is exceptionally clean, modern, and equipped with world-class facilities, making travel and transit very comfortable for international visitors. The arrival and departu... || Very good option for affordable, safe and secured transport to/from Changi airport. It’s reliable and you’re protected from rain unlike taking buses where bus stops are lacking of ... || Easiest way to travel from Changi airport to the city. You have to buy MRT card to use the metro. Price is 10 SGD where 5 SGD is the balance. You can use credit card also but note ...",0,-1,1,1,1,2
Changi,Changi Point,food,10,4.1,0,3,0,4,0,0,0,0,0,0,1,1,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-3,-4,0,0,0,0
Changi,Changi Point,shopping,10,4.7,3,0,0,4,3,0,1,0,4,0,2,0,"Bedok Mall is well located beside Bedok MRT, Bedok Bus Interchange and the famous Bedok Interchange Hawker Center. Many commuters usually like to drop by the Bedok Mall for essenti... || It's a huge mall with many varieties of shops. It's crowded and lively! It's located just beside Bedok MRT station. Recommended! || Very biggest mall BEDOK interchange and BEDOK MRT are in this place Nice logo design which is attractive Good to have evening time You can play corndor nearby. You can find the pic...",3,-4,3,1,4,2
